encoder,task,fold,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
uni_v1,CCRCC,0,3.3306690738754696e-15,1.2027191357270937,6.150635556423367e-14
uni_v1,CCRCC,1,3.9968028886505635e-15,1.1340729931280986,5.861977570020827e-14
uni_v1,CCRCC,2,3.1086244689504383e-15,1.2175344832417683,5.1958437552457326e-14
uni_v1,CCRCC,3,3.774758283725532e-15,1.1433318432704898,5.062616992290714e-14
uni_v1,CCRCC,4,2.9976021664879227e-15,1.1654889928435639,5.728750807065808e-14
uni_v1,CCRCC,5,3.9968028886505635e-15,1.1144303314897575,6.195044477408373e-14
uni_v1,COAD,0,5.773159728050814e-15,4.757530287321962,1.7763568394002505e-13
uni_v1,COAD,1,7.105427357601002e-15,3.7265697112487413,9.103828801926284e-14
uni_v1,HCC,0,2.6645352591003757e-15,1.6473606315733178,6.350475700855895e-14
uni_v1,HCC,1,2.886579864025407e-15,1.8762293884337296,7.616129948928574e-14
uni_v1,IDC,0,7.105427357601002e-15,4.680486047731991,1.8118839761882555e-13
uni_v1,IDC,1,9.769962616701378e-15,3.945148876456343,2.0117241206207837e-13
uni_v1,IDC,2,7.993605777301127e-15,4.300488336845186,2.327027459614328e-13
uni_v1,IDC,3,7.105427357601002e-15,4.5142166407930615,1.7141843500212417e-13
uni_v1,LUNG,0,6.661338147750939e-15,5.034180249083873,1.9273471707492718e-13
uni_v1,LUNG,1,6.217248937900877e-15,3.885590599622657,9.992007221626409e-14
uni_v1,LYMPH_IDC,0,4.884981308350689e-15,1.0771724363555917,3.6637359812630166e-14
uni_v1,LYMPH_IDC,1,3.552713678800501e-15,1.135053074888608,2.7755575615628914e-14
uni_v1,LYMPH_IDC,2,2.4424906541753444e-15,0.8600819810874878,3.3084646133829665e-14
uni_v1,LYMPH_IDC,3,2.886579864025407e-15,0.9543294744029476,3.397282455352979e-14
uni_v1,PAAD,0,5.329070518200751e-15,3.82059831332883,1.412203687323199e-13
uni_v1,PAAD,1,6.217248937900877e-15,3.3205958885607005,1.0524914273446484e-13
uni_v1,PAAD,2,6.661338147750939e-15,3.630032706388053,1.0880185641326534e-13
uni_v1,PRAD,0,3.9968028886505635e-15,2.9990945729944434,2.7489122089718876e-13
uni_v1,PRAD,1,5.773159728050814e-15,2.790814660275287,1.376676550535194e-13
uni_v1,READ,0,3.1086244689504383e-15,1.1302036788957834,5.551115123125783e-14
uni_v1,READ,1,1.9984014443252818e-15,0.9455457646221455,3.497202527569243e-14
uni_v1,SKCM,0,8.881784197001252e-15,5.28407780737961,2.6645352591003757e-13
uni_v1,SKCM,1,8.881784197001252e-15,4.794614522750541,2.353672812205332e-13
