task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.00038620778165447217,0.002676039934158325,300,uni_v2,footnote
COAD,0.0004367900267243385,0.0043916888535022736,100,uni_v2,footnote
HCC,0.00022886305203428492,0.001029524952173233,100,uni_v2,footnote
IDC,0.00024887848645448684,0.0017138868570327759,200,uni_v2,footnote
LUNG,0.00040056660771369934,0.001950681209564209,100,uni_v2,footnote
LYMPH_IDC,0.00020419260661583394,0.0016169846057891846,200,uni_v2,footnote
PAAD,0.0003408113121986389,0.0028221309185028076,150,uni_v2,footnote
PRAD,0.00042245633900165556,0.0017226040363311768,100,uni_v2,footnote
READ,0.0003932627011090517,0.0027500391006469727,100,uni_v2,footnote
SKCM,0.0004059509560465813,0.0023453012108802795,100,uni_v2,footnote
