task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0007252431522081284,0.0060462125965035085,300,phikon,footnote
COAD,0.0010191863455917935,0.006299872764160518,100,phikon,between
HCC,0.00047309552003116004,0.0017650579831338387,100,phikon,footnote
IDC,0.0005418795127676395,0.0066129353504262856,200,phikon,footnote
LUNG,0.0009435881563913122,0.007636312084882165,100,phikon,footnote
LYMPH_IDC,0.0003678672205032488,0.001844144566618633,200,phikon,footnote
PAAD,0.0006719069692393051,0.008996807551050742,150,phikon,footnote
PRAD,0.0005910894166116132,0.0023767386188854878,100,phikon,footnote
READ,0.0006036088899414149,0.0035448624028558695,100,phikon,footnote
SKCM,0.0009966515758466198,0.003946202246918662,100,phikon,footnote
