encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
virchow2,CCRCC,0,0.006352663040161133,1.2117362022399902,0.010630369186401367,1.9371509552001953e-06,1.202634334564209,3.2782554626464844e-05,3.552713678800501e-15,1.2027191357270826,5.3512749786932545e-14
virchow2,CCRCC,1,0.005842387676239014,1.148105263710022,0.014089345932006836,2.6226043701171875e-06,1.134047269821167,3.135204315185547e-05,3.9968028886505635e-15,1.1340729931281088,6.816769371198461e-14
virchow2,CCRCC,2,0.003972649574279785,1.229283332824707,0.011947035789489746,2.1457672119140625e-06,1.217524528503418,3.731250762939453e-05,3.552713678800501e-15,1.2175344832417665,6.061817714453355e-14
virchow2,CCRCC,3,0.005153447389602661,1.155508279800415,0.01405489444732666,1.6689300537109375e-06,1.1433284282684326,3.325939178466797e-05,4.218847493575595e-15,1.1433318432705026,6.039613253960852e-14
virchow2,CCRCC,4,0.006126284599304199,1.1699388027191162,0.012082457542419434,2.1457672119140625e-06,1.1653237342834473,4.172325134277344e-05,4.3298697960381105e-15,1.1654889928435814,8.770761894538737e-14
virchow2,CCRCC,5,0.0054215192794799805,1.1289288997650146,0.014893889427185059,2.1457672119140625e-06,1.1143308877944946,4.1604042053222656e-05,3.6637359812630166e-15,1.114430331489764,6.750155989720952e-14
virchow2,COAD,0,0.010621309280395508,4.830620765686035,0.07403993606567383,4.291534423828125e-06,4.757626056671143,0.00010633468627929688,7.549516567451064e-15,4.757530287321972,1.7497114868092467e-13
virchow2,COAD,1,0.00744020938873291,3.798720359802246,0.0721731185913086,4.291534423828125e-06,3.7266130447387695,7.867813110351562e-05,7.105427357601002e-15,3.726569711248736,1.3855583347321954e-13
virchow2,HCC,0,0.008200883865356445,1.678192377090454,0.030835628509521484,7.152557373046875e-07,1.6473592519760132,2.5033950805664062e-06,1.3322676295501878e-15,1.6473606315732727,4.884981308350689e-15
virchow2,HCC,1,0.010238230228424072,1.907004952430725,0.04487335681915283,1.0728836059570312e-06,1.8762260675430298,5.4836273193359375e-06,1.7763568394002505e-15,1.8762293884336598,5.10702591327572e-15
virchow2,IDC,0,0.008332252502441406,4.7256879806518555,0.0723419189453125,5.7220458984375e-06,4.680594444274902,0.00012540817260742188,7.993605777301127e-15,4.6804860477320664,2.2470914018413168e-13
virchow2,IDC,1,0.010487198829650879,4.009515762329102,0.06438851356506348,4.291534423828125e-06,3.945269823074341,0.00014257431030273438,6.661338147750939e-15,3.945148876456432,2.5712765250318625e-13
virchow2,IDC,2,0.01246654987335205,4.34189510345459,0.05688285827636719,6.67572021484375e-06,4.300681114196777,0.0001239776611328125,1.2434497875801753e-14,4.300488336845085,2.6201263381153694e-13
virchow2,IDC,3,0.010629892349243164,4.555535793304443,0.056829214096069336,5.245208740234375e-06,4.514368534088135,0.00015115737915039062,7.993605777301127e-15,4.514216640793162,2.6911806116913795e-13
virchow2,LUNG,0,0.012763261795043945,5.098480224609375,0.11817121505737305,3.814697265625e-06,5.034229755401611,3.7670135498046875e-05,7.549516567451064e-15,5.0341802490837635,8.348877145181177e-14
virchow2,LUNG,1,0.0062149763107299805,3.9127447605133057,0.04763388633728027,3.337860107421875e-06,3.8856899738311768,9.298324584960938e-05,5.773159728050814e-15,3.885590599622671,1.2567724638756772e-13
virchow2,LYMPH_IDC,0,0.006202369928359985,1.0900275707244873,0.021835803985595703,1.6689300537109375e-06,1.0772181749343872,2.384185791015625e-05,3.9968028886505635e-15,1.0771724363556028,4.773959005888173e-14
virchow2,LYMPH_IDC,1,0.009229302406311035,1.1450139284133911,0.011970043182373047,1.5497207641601562e-06,1.1351044178009033,2.586841583251953e-05,3.1086244689504383e-15,1.1350530748886185,3.7969627442180354e-14
virchow2,LYMPH_IDC,2,0.006124615669250488,0.8691695928573608,0.018352925777435303,1.8477439880371094e-06,0.8601194620132446,2.014636993408203e-05,2.3314683517128287e-15,0.8600819810875062,3.652633751016765e-14
virchow2,LYMPH_IDC,3,0.008917093276977539,0.962595522403717,0.01689857244491577,1.6689300537109375e-06,0.9544110298156738,2.5928020477294922e-05,3.9968028886505635e-15,0.9543294744029482,3.7636560534792807e-14
virchow2,PAAD,0,0.004538297653198242,3.8513166904449463,0.04633617401123047,3.337860107421875e-06,3.8206546306610107,0.00010800361633300781,5.329070518200751e-15,3.8205983133288335,1.4477308241112041e-13
