task,ours,pearson_mean,abs_diff
CCRCC,0.26389854522332806,0.264,0.0001014547766719498
COAD,0.30154873876338006,0.3016,5.1261236619914996e-05
HCC,0.07474425945998409,0.0748,5.574054001591944e-05
IDC,0.5897248747050413,0.5898,7.512529495867781e-05
LUNG,0.5588848260615058,0.5588,8.482606150583827e-05
LYMPH_IDC,0.2727095089501667,0.2728,9.04910498332745e-05
PAAD,0.5000365780949051,0.5001,6.342190509489587e-05
PRAD,0.35706612278592875,0.3568,0.0002661227859287463
READ,0.2226463261425774,0.2227,5.367385742260922e-05
SKCM,0.6612926718798526,0.6612,9.267187985262382e-05
