task,ours,pearson_mean,abs_diff
CCRCC,0.26766680236828205,0.2677,3.3197631717940546e-05
COAD,0.3086720212316141,0.3087,2.7978768385894526e-05
HCC,0.07922142545692623,0.0792,2.142545692622455e-05
IDC,0.5975981683656574,0.5976,1.8316343426416637e-06
LUNG,0.559016995280981,0.559,1.6995280980980354e-05
LYMPH_IDC,0.2591359294373251,0.2592,6.407056267487832e-05
PAAD,0.4911479619393746,0.4911,4.79619393746189e-05
PRAD,0.3847115656733513,0.3848,8.843432664867867e-05
READ,0.2216427499713609,0.2216,4.274997136091696e-05
SKCM,0.6454714351519942,0.6455,2.8564848005729893e-05
