task,ours,pearson_mean,abs_diff
CCRCC,0.25350829865008956,0.2533,0.0002082986500895334
COAD,0.3193126564443122,0.3195,0.00018734355568778005
HCC,0.08502678781618436,0.085,2.678781618435655e-05
IDC,0.6023680815346886,0.6024,3.1918465311475686e-05
LUNG,0.5779108769468126,0.578,8.912305318731217e-05
LYMPH_IDC,0.2773001970133426,0.2774,9.980298665740461e-05
PAAD,0.49645314481817976,0.4965,4.6855181820237846e-05
PRAD,0.3781937314573372,0.3782,6.2685426627795415e-06
READ,0.24204820145606415,0.242,4.820145606415638e-05
SKCM,0.6588922076327401,0.6589,7.792367259895627e-06
