task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0016241134509133795,0.009976744651794434,300,conch_v1,between
COAD,0.0031098284106701613,0.019656851887702942,100,conch_v1,between
HCC,0.0014486552208836656,0.007844913750886917,100,conch_v1,between
IDC,0.001208468247205019,0.006499528884887695,200,conch_v1,between
LUNG,0.002459813877940178,0.01223859190940857,100,conch_v1,between
LYMPH_IDC,0.0011731637665070593,0.008704006671905518,200,conch_v1,between
PAAD,0.002432745595773061,0.027647197246551514,150,conch_v1,between
PRAD,0.000662032812833786,0.002580970525741577,100,conch_v1,footnote
READ,0.0016856486489996315,0.006557554006576538,100,conch_v1,between
SKCM,0.002087429417297244,0.008824199438095093,100,conch_v1,between
