encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
phikon,CCRCC,0,0.007017016410827637,1.2139976024627686,0.015052437782287598,1.9073486328125e-06,1.2026616334915161,6.079673767089844e-05,5.329070518200751e-15,1.2027191357271212,9.192646643896296e-14
phikon,CCRCC,1,0.0044675469398498535,1.1454440355300903,0.011428117752075195,1.9073486328125e-06,1.134062647819519,4.673004150390625e-05,5.773159728050814e-15,1.134072993128168,1.2145839889399213e-13
phikon,CCRCC,2,0.004900932312011719,1.2243953943252563,0.009920954704284668,2.2649765014648438e-06,1.217536211013794,6.23464584350586e-05,3.552713678800501e-15,1.2175344832417823,6.94999613415348e-14
phikon,CCRCC,3,0.0051780641078948975,1.1515365839004517,0.012313365936279297,2.2649765014648438e-06,1.1433525085449219,5.3048133850097656e-05,3.774758283725532e-15,1.1433318432705224,8.01581023779363e-14
phikon,CCRCC,4,0.005556821823120117,1.169946551322937,0.011293172836303711,2.682209014892578e-06,1.1653454303741455,6.341934204101562e-05,4.440892098500626e-15,1.1654889928435899,9.037215420448774e-14
phikon,CCRCC,5,0.005807995796203613,1.1231215000152588,0.012906551361083984,2.0265579223632812e-06,1.114342451095581,5.447864532470703e-05,3.552713678800501e-15,1.1144303314898063,1.099120794378905e-13
phikon,COAD,0,0.009543180465698242,4.866996765136719,0.10945940017700195,3.814697265625e-06,4.757718563079834,0.0001811981201171875,8.881784197001252e-15,4.757530287322071,3.863576125695545e-13
phikon,COAD,1,0.00799870491027832,3.755202054977417,0.047211408615112305,4.5299530029296875e-06,3.726606607437134,0.000118255615234375,7.549516567451064e-15,3.726569711248848,1.816324868286756e-13
phikon,HCC,0,0.010926127433776855,1.670515537261963,0.02924513816833496,1.6689300537109375e-06,1.647455096244812,9.834766387939453e-05,2.6645352591003757e-15,1.6473606315733664,1.8562928971732617e-13
phikon,HCC,1,0.008641958236694336,1.9072976112365723,0.05105757713317871,1.9073486328125e-06,1.876448154449463,0.00022602081298828125,3.552713678800501e-15,1.876229388433833,1.8340884366807586e-13
phikon,IDC,0,0.010129928588867188,4.7315449714660645,0.06983518600463867,6.67572021484375e-06,4.68064022064209,0.00017309188842773438,9.769962616701378e-15,4.680486047732106,6.128431095930864e-13
phikon,IDC,1,0.00835263729095459,3.989945888519287,0.04481863975524902,4.76837158203125e-06,3.9453682899475098,0.0002415180206298828,7.993605777301127e-15,3.945148876456498,5.053735208093713e-13
phikon,IDC,2,0.008526802062988281,4.345048427581787,0.0666661262512207,5.9604644775390625e-06,4.300721168518066,0.000247955322265625,7.993605777301127e-15,4.30048833684512,5.782041512247815e-13
phikon,IDC,3,0.009398937225341797,4.569798946380615,0.05551433563232422,5.9604644775390625e-06,4.514555931091309,0.0002713203430175781,1.0658141036401503e-14,4.514216640793355,4.618527782440651e-13
phikon,LUNG,0,0.008500635623931885,5.123725414276123,0.08953285217285156,4.76837158203125e-06,5.034374237060547,0.0002503395080566406,7.993605777301127e-15,5.034180249083885,6.705747068735946e-13
phikon,LUNG,1,0.011210918426513672,3.913489818572998,0.0467679500579834,6.4373016357421875e-06,3.885681629180908,8.463859558105469e-05,6.661338147750939e-15,3.885590599622779,2.220446049250313e-13
