task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.00046385154128074645,0.0024180859327316284,300,hoptimus1,footnote
COAD,0.00045882051694206893,0.0018579661846160889,100,hoptimus1,footnote
HCC,0.0003256277577020228,0.0019257217645645142,100,hoptimus1,footnote
IDC,0.0002848270442336798,0.0018615126609802246,200,hoptimus1,footnote
LUNG,0.0004924777895212173,0.003176748752593994,100,hoptimus1,footnote
LYMPH_IDC,0.0003157540687243454,0.0037304162979125977,200,hoptimus1,footnote
PAAD,0.0004691904534896215,0.0021943747997283936,150,hoptimus1,footnote
PRAD,0.00031624019145965577,0.0017484724521636963,100,hoptimus1,footnote
READ,0.00042237554327584804,0.002592712640762329,100,hoptimus1,footnote
SKCM,0.0005418387707322835,0.0035666823387145996,100,hoptimus1,footnote
