task,ours,pearson_mean,abs_diff
CCRCC,0.2640089708430848,0.264,8.9708430847657e-06
COAD,0.3015522538684309,0.3016,4.774613156910412e-05
HCC,0.07473924944199098,0.0748,6.075055800902618e-05
IDC,0.5897646835632623,0.5898,3.531643673770901e-05
LUNG,0.5587961738556624,0.5588,3.826144337581994e-06
LYMPH_IDC,0.27275027926953044,0.2728,4.972073046954906e-05
PAAD,0.5000635499755541,0.5001,3.6450024445855433e-05
PRAD,0.3566963969916105,0.3568,0.00010360300838951897
READ,0.22267034091055393,0.2227,2.965908944607687e-05
SKCM,0.6612446350231767,0.6612,4.463502317664236e-05
