task,ours,pearson_mean,abs_diff
CCRCC,0.21759086955105889,0.2175,9.086955105888639e-05
COAD,0.27990869719535116,0.2802,0.00029130280464884084
HCC,0.06881598188541829,0.0686,0.00021598188541829821
IDC,0.5440947585180402,0.544,9.475851804019442e-05
LUNG,0.5514876945875584,0.5514,8.769458755841786e-05
LYMPH_IDC,0.26997747052228077,0.2699,7.747052228079809e-05
PAAD,0.45708752021193505,0.4569,0.00018752021193507717
PRAD,0.3806367963552475,0.3808,0.0001632036447525298
READ,0.16011300828111416,0.1601,1.3008281114168518e-05
SKCM,0.5519437249656767,0.5518,0.000143724965676717
