encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
resnet50,CCRCC,0,0.007740497589111328,1.223170518875122,0.025211036205291748,3.0994415283203125e-06,1.2027931213378906,0.00018680095672607422,3.490209907752728e-07,1.202905245349331,0.00018610962229881345
resnet50,CCRCC,1,0.0075626373291015625,1.1452285051345825,0.012891173362731934,2.384185791015625e-06,1.1341829299926758,0.00016701221466064453,3.844189859769642e-07,1.1342392613408916,0.00016626821284515536
resnet50,CCRCC,2,0.006934940814971924,1.228466510772705,0.012200117111206055,2.0265579223632812e-06,1.2177479267120361,0.0002607107162475586,3.529037562177706e-07,1.21779421559896,0.0002597323572437471
resnet50,CCRCC,3,0.005390167236328125,1.1506646871566772,0.01832437515258789,2.1457672119140625e-06,1.143716812133789,0.00041735172271728516,5.420085040785949e-07,1.143750342856956,0.0004184995865137431
resnet50,CCRCC,4,0.0069043636322021484,1.183131217956543,0.017849206924438477,2.2649765014648438e-06,1.1654102802276611,0.00019431114196777344,7.718050584193392e-07,1.1656164206764703,0.00019364520605691382
resnet50,CCRCC,5,0.0074738264083862305,1.1209300756454468,0.017038822174072266,3.0994415283203125e-06,1.1143780946731567,0.00016582012176513672,4.4895109252429677e-07,1.1145158278607765,0.00016526667988236987
resnet50,COAD,0,0.01639246940612793,4.870883464813232,0.12430524826049805,6.67572021484375e-06,4.758077621459961,0.0008778572082519531,1.529723727689003e-07,4.758073638557439,0.0008734557495406747
resnet50,COAD,1,0.005782604217529297,3.7506847381591797,0.03177976608276367,4.0531158447265625e-06,3.7265892028808594,5.2928924560546875e-05,1.2805807236837552e-07,3.7266122630059035,5.185491548909127e-05
resnet50,HCC,0,0.007732808589935303,1.667269229888916,0.020375490188598633,1.6689300537109375e-06,1.6474206447601318,6.389617919921875e-05,1.9876376300409504e-07,1.647423153562224,6.252198895606575e-05
resnet50,HCC,1,0.007221698760986328,1.9002865552902222,0.04782819747924805,1.1920928955078125e-06,1.8762609958648682,4.112720489501953e-05,1.280100562217612e-07,1.8762697673992672,4.037896561204235e-05
resnet50,IDC,0,0.010634660720825195,4.747415542602539,0.06694650650024414,9.5367431640625e-06,4.680734157562256,0.0002651214599609375,2.745183715902044e-07,4.680750325759954,0.0002642780281121304
resnet50,IDC,1,0.009957551956176758,3.973200559616089,0.03580284118652344,4.291534423828125e-06,3.945542812347412,0.0020089149475097656,1.1970947584316605e-06,3.945565188414901,0.002009117671690319
resnet50,IDC,2,0.02184605598449707,4.373445510864258,0.09128689765930176,7.152557373046875e-06,4.302501678466797,0.0019445419311523438,5.379273593231204e-07,4.3024334587608415,0.0019451219158881372
resnet50,IDC,3,0.010687470436096191,4.566882133483887,0.06408309936523438,6.4373016357421875e-06,4.514902114868164,0.002693653106689453,4.5692644623507306e-07,4.514832331218093,0.0026929215042148513
resnet50,LUNG,0,0.012222766876220703,5.067508697509766,0.09663581848144531,9.059906005859375e-06,5.034355163574219,0.00019216537475585938,3.079503876346479e-07,5.034340153595733,0.0001951202020000764
