task,ours,pearson_mean,abs_diff
CCRCC,0.27181664610545275,0.2719,8.335389454722231e-05
COAD,0.2579963712393033,0.258,3.6287606967055908e-06
HCC,0.09421931843410489,0.0942,1.931843410488132e-05
IDC,0.5971445957580767,0.5971,4.459575807669314e-05
LUNG,0.5684786144008362,0.5684,7.861440083622995e-05
LYMPH_IDC,0.2567005414548512,0.2568,9.945854514875618e-05
PAAD,0.4776910240085561,0.4778,0.00010897599144388259
PRAD,0.35302748368414133,0.3529,0.00012748368414133848
READ,0.20730259372855142,0.2074,9.740627144858016e-05
SKCM,0.63940568209984,0.6398,0.0003943179001600905
