task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.00046391505567907454,0.0030155383436431538,300,gigapath,footnote
COAD,0.0005338613213194586,0.0030268990233645295,100,gigapath,footnote
HCC,0.000262958354438664,0.001255152453551095,100,gigapath,footnote
IDC,0.00031033310895289975,0.0025400638068592274,200,gigapath,footnote
LUNG,0.00046435221250890263,0.0034449134710716756,100,gigapath,footnote
LYMPH_IDC,0.00032678222552513396,0.003014909476605515,200,gigapath,footnote
PAAD,0.00045181580240736196,0.003442109686365047,150,gigapath,footnote
PRAD,0.00016126679431408274,0.0006922500598508519,100,gigapath,footnote
READ,0.00043938848976208964,0.002797349127934834,100,gigapath,footnote
SKCM,0.000523034673690804,0.002721624756651997,100,gigapath,footnote
