task,ours,pearson_mean,abs_diff
CCRCC,0.27189291349712,0.2719,7.086502879949386e-06
COAD,0.2579949205449106,0.258,5.07945508942953e-06
HCC,0.09418322335491808,0.0942,1.6776645081928443e-05
IDC,0.5971167045979424,0.5971,1.6704597942451826e-05
LUNG,0.5683572939373909,0.5684,4.270606260914356e-05
LYMPH_IDC,0.2568320396000022,0.2568,3.203960000225381e-05
PAAD,0.4776429034512113,0.4778,0.00015709654878870438
PRAD,0.3528770270352867,0.3529,2.297296471331922e-05
READ,0.2072427035844831,0.2074,0.00015729641551689988
SKCM,0.6400223664212018,0.6398,0.00022236642120176953
