task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0004404699891650428,0.0024671293795108795,300,resnet50,footnote
COAD,0.0005693184211850166,0.0033176839351654053,100,resnet50,footnote
HCC,0.0002562629251042381,0.0011235103011131287,100,resnet50,footnote
IDC,0.00034698122180998325,0.002339867874979973,200,resnet50,footnote
LUNG,0.0005809712409973144,0.0026169419288635254,100,resnet50,footnote
LYMPH_IDC,0.0003172804386122152,0.0013772845268249512,200,resnet50,footnote
PAAD,0.00041855291773875553,0.0016610324382781982,150,resnet50,footnote
PRAD,0.00025946758687496186,0.001254066824913025,100,resnet50,footnote
READ,0.0003377720739808865,0.0026048114523291588,100,resnet50,footnote
SKCM,0.0004328233655542135,0.0036943256855010986,100,resnet50,footnote
