encoder,task,fold,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
hoptimus1,CCRCC,0,5.329070518200751e-15,1.2027191357271096,7.749356711883593e-14
hoptimus1,CCRCC,1,3.774758283725532e-15,1.1340729931281113,6.905587213168474e-14
hoptimus1,CCRCC,2,3.552713678800501e-15,1.217534483241772,5.573319583618286e-14
hoptimus1,CCRCC,3,3.1086244689504383e-15,1.143331843270491,5.1514348342607263e-14
hoptimus1,CCRCC,4,4.218847493575595e-15,1.165488992843568,8.992806499463768e-14
hoptimus1,CCRCC,5,3.774758283725532e-15,1.1144303314897623,6.750155989720952e-14
hoptimus1,COAD,0,5.773159728050814e-15,4.757530287321987,1.5987211554602254e-13
hoptimus1,COAD,1,6.217248937900877e-15,3.726569711248756,8.970602038971265e-14
hoptimus1,HCC,0,2.220446049250313e-15,1.6473606315733067,7.993605777301127e-14
hoptimus1,HCC,1,2.6645352591003757e-15,1.8762293884337258,1.3855583347321954e-13
hoptimus1,IDC,0,9.103828801926284e-15,4.680486047732014,1.723066134218243e-13
hoptimus1,IDC,1,7.549516567451064e-15,3.9451488764563765,2.0161650127192843e-13
hoptimus1,IDC,2,1.509903313490213e-14,4.300488336845106,1.5276668818842154e-13
hoptimus1,IDC,3,8.43769498715119e-15,4.514216640793052,1.8562928971732617e-13
hoptimus1,LUNG,0,7.105427357601002e-15,5.034180249083802,1.7319479184152442e-13
hoptimus1,LUNG,1,6.217248937900877e-15,3.885590599622667,1.1013412404281553e-13
hoptimus1,LYMPH_IDC,0,3.219646771412954e-15,1.0771724363555868,3.8191672047105385e-14
hoptimus1,LYMPH_IDC,1,2.6645352591003757e-15,1.1350530748886187,3.8191672047105385e-14
hoptimus1,LYMPH_IDC,2,2.220446049250313e-15,0.8600819810875009,3.11972669919669e-14
hoptimus1,LYMPH_IDC,3,3.4416913763379853e-15,0.954329474402954,4.04121180963557e-14
hoptimus1,PAAD,0,6.217248937900877e-15,3.8205983133287957,1.0702549957386509e-13
hoptimus1,PAAD,1,6.661338147750939e-15,3.3205958885607814,1.7896795156957523e-13
hoptimus1,PAAD,2,6.217248937900877e-15,3.6300327063880813,1.305622276959184e-13
hoptimus1,PRAD,0,5.329070518200751e-15,2.999094572994454,2.8377300509419e-13
hoptimus1,PRAD,1,5.773159728050814e-15,2.790814660275265,9.237055564881302e-14
hoptimus1,READ,0,5.329070518200751e-15,1.1302036788957954,5.6621374255882984e-14
hoptimus1,READ,1,3.1086244689504383e-15,0.9455457646221302,2.2315482794965646e-14
hoptimus1,SKCM,0,7.993605777301127e-15,5.284077807379591,2.469136006766348e-13
hoptimus1,SKCM,1,7.105427357601002e-15,4.794614522750343,3.9968028886505635e-14
