task,median_rho,median_r,faithful,train-mean intercept,oracle level,oracle level and optimal scale
CCRCC,0.4814979739538124,0.22888450064632704,-0.7332662237563919,-0.08518962688646789,-0.017575904150391383,0.052388115441184255
COAD,0.5138702136839739,0.2713385951939294,-1.4013033725856938,-0.441723926385847,0.00035487050158078404,0.07826234353726913
HCC,0.5648999271973838,0.07047102157037119,-0.807724719694684,-0.4897259032553066,-0.21660584249396111,0.006440336357439978
IDC,0.6750464411723069,0.6145614397245817,-1.9527833250639306,-0.032075593435691954,0.32742540147486543,0.3776857641737392
LUNG,0.6960766678138444,0.550523112810837,-2.317645246571179,-0.08094644136207016,0.25749280730252955,0.3030756983762216
LYMPH_IDC,0.667821847417108,0.2379287368444148,-0.9768000841203315,-0.726030716759883,-0.15817748196256112,0.05669373912588527
PAAD,0.5537477005864164,0.4782777335648317,-1.1709488588897343,0.00257318092287395,0.18667575316471857,0.2287495931502814
PRAD,0.4678586037853171,0.35678307239477713,-0.5414422605993017,0.06229828702467595,0.10136249091612823,0.12729416622705572
READ,0.596324550259657,0.14019879323320517,-0.4434089773279526,-0.3388296540645953,-0.10758649171530574,0.019805009188568208
SKCM,0.6912926937944484,0.6466160175165149,-0.29731274635966953,0.2353185526687368,0.3951145096067661,0.4181132973539269
