task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0005553120079760751,0.0037467777729034424,300,virchow,footnote
COAD,0.0013507961528375744,0.007157952059060335,100,virchow,between
HCC,0.0003859328804537654,0.0026311464607715607,100,virchow,footnote
IDC,0.00046067695366218685,0.0034305453300476074,200,virchow,footnote
LUNG,0.0010361067950725555,0.010637998580932617,100,virchow,between
LYMPH_IDC,0.0004880164563655853,0.00793275237083435,200,virchow,footnote
PAAD,0.0007411971191565196,0.004333317279815674,150,virchow,footnote
PRAD,0.0004098668694496155,0.0019964873790740967,100,virchow,footnote
READ,0.0005632305948529392,0.00414639338850975,100,virchow,footnote
SKCM,0.001293666809797287,0.014662057161331177,100,virchow,between
