task,ours,pearson_mean,abs_diff
CCRCC,0.2676796121609304,0.2677,2.0387839069602176e-05
COAD,0.30859433880145226,0.3087,0.00010566119854771294
HCC,0.07917236777220779,0.0792,2.7632227792215303e-05
IDC,0.5975835469075119,0.5976,1.645309248810012e-05
LUNG,0.5590385418177191,0.559,3.8541817719006666e-05
LYMPH_IDC,0.2591923811676984,0.2592,7.61883230160354e-06
PAAD,0.4910164962434829,0.4911,8.3503756517056e-05
PRAD,0.38518023414427616,0.3848,0.0003802341442761814
READ,0.22145331556963382,0.2216,0.0001466844303661674
SKCM,0.6453406269333946,0.6455,0.00015937306660540607
