task,ours,pearson_mean,abs_diff
CCRCC,0.24288583050058377,0.243,0.00011416949941622789
COAD,0.29913145269041874,0.2992,6.854730958127941e-05
HCC,0.07074396276326153,0.0708,5.603723673847094e-05
IDC,0.5514683614337059,0.5515,3.1638566294067694e-05
LUNG,0.5410310797767259,0.541,3.1079776725895236e-05
LYMPH_IDC,0.25002452993025753,0.25,2.4529930257533028e-05
PAAD,0.47464841135975827,0.4747,5.1588640241739814e-05
PRAD,0.36991473287141025,0.3698,0.00011473287141022803
READ,0.19623561172143067,0.1961,0.0001356117214306729
SKCM,0.5621271557124349,0.5621,2.7155712434834278e-05
