task,ours,pearson_mean,abs_diff
CCRCC,0.21625744156821378,0.2175,0.0012425584317862226
COAD,0.27999919502273884,0.2802,0.00020080497726115976
HCC,0.06882259435750773,0.0686,0.00022259435750773826
IDC,0.5437486975975216,0.544,0.00025130240247839275
LUNG,0.5508949494862178,0.5514,0.0005050505137822459
LYMPH_IDC,0.2696666022604241,0.2699,0.00023339773957586907
PAAD,0.4569916328931276,0.4569,9.163289312763556e-05
PRAD,0.38061085498693753,0.3808,0.0001891450130624972
READ,0.159863548373196,0.1601,0.00023645162680399623
SKCM,0.5516362538904045,0.5518,0.00016374610959546398
