encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,std_pred,std_target,train_mean_pred,train_mean_target
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,AKAP8,0.16983807117159086,-1.1996875857471139,0.46268940295453276,-0.15753880965864397,0.347701582039884,0.13397933367017995,0.45863191677140885,-4.071221963566618e-17,0.35207952698136546
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,BLVRB,0.18008519813754373,-1.2236031404368046,0.3473558027365372,-0.18232120601602725,0.2520582543169042,0.15791371499992063,0.39523795160372543,-3.2569775708532945e-17,0.37015096804314834
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,BTF3,0.03823325741536412,-3.198689507499288,0.6220147674676486,-0.4304369706155681,0.2396368571471379,0.17310588615736278,0.38489606214542227,-3.2569775708532945e-17,0.6006411427288154
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CD109,0.315968088905478,-0.4134490223265723,0.34025249312687944,0.03445472972619281,0.3570388251776973,0.2946681020876732,0.49063732419033296,5.394369101725769e-17,0.4874023668605807
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CD14,0.045666462496544075,-1.3547554400441904,0.8955941716696829,-0.19039641679542185,0.4735222755808179,0.30250782100008927,0.6167124627053123,0.0,0.7004610575904594
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CHST15,0.1472255136214575,-1.2905261701035604,0.6086026709875859,-0.14907020460705367,0.42651018973862326,0.20766521295591328,0.5154651375233041,-8.549566123489898e-17,0.47235765679396713
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CIB1,0.16719907031426462,-2.443430651687855,0.9783639104197116,-0.2797553757524036,0.5336077414446135,0.29067282411919554,0.5330335457094174,-2.442733178139971e-17,0.7433766609134792
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CKB,0.21994803753652548,-0.8169421353316468,0.8083330424241911,-0.12363016272008147,0.4868601569352792,0.2574769494718009,0.6669981321784203,1.2213665890699855e-17,0.5242236459322882
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CPD,0.19208342962229802,-1.0953371287401699,0.6120675998035967,0.08104249839262415,0.4983861116090874,0.49949252256358156,0.5404714292126986,1.6284887854266473e-17,0.564075054961264
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,CPE,0.4234981872106304,-1.1142832843528865,2.2195492584372802,0.11920526148712311,1.2817485996183213,0.5147486983026256,1.02459163471921,3.4198264493959594e-16,1.1011824996369504
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,DERL1,0.3946763151197366,-1.1281038408119168,0.6709445075656506,-0.04788488321553591,0.5517190393005897,0.43433501087018633,0.561496292826326,-1.1399421497986532e-16,0.6185946883582205
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,DNAJB12,0.1009129101354534,-1.167112712487663,0.2698839396745239,-0.17185650978456796,0.1934438191464182,0.15037958062397702,0.3528968409944552,-1.1399421497986532e-16,0.33685407817164165
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,EGFL7,0.13424105634746492,-1.571392424525364,0.42701533261060165,-0.24598819955542722,0.2591616815905794,0.14834025576171467,0.407509328259485,-6.921077338063251e-17,0.4487183465938687
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,FLNB,0.232689226656005,-1.815487196830392,0.9483461219048621,-0.25679173362485597,0.5235467836480611,0.27934975738577783,0.580372275465458,-1.5063521265196488e-16,0.6350858749964493
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,GADD45B,0.2758542775538593,-1.5700316628542224,0.9521297747273212,-0.22675763653320877,0.5482276838168784,0.26405402272575196,0.6086657106019696,-7.328199534419913e-17,0.5517125632372767
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,GPNMB,0.21290505811046534,-1.1318592519044395,0.766371754756422,-0.24247246315697912,0.39709403686041694,0.24654756657867752,0.5995708094447445,4.071221963566618e-17,0.5627884393468424
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,H3F3A,0.11201679177096226,-3.676235314882783,0.7180820127913966,-0.49091673569022926,0.2360963699547845,0.23857732521508065,0.3918671383537749,-7.328199534419913e-17,0.7055452922696459
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,HMOX1,0.34633320738693524,-0.5357330451509004,0.7592344427499222,-0.06621302861611036,0.5029291032051185,0.22829432122703402,0.7031210276134029,3.2569775708532945e-17,0.4311843548711726
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,HNRNPK,0.11149238590872566,-3.7420263567148027,0.9860521619218351,-0.4941450751314277,0.3734790266296651,0.21795279691746097,0.45600327635890103,-1.1399421497986532e-16,0.8356579622651759
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,HSPA1A,-0.03863045563438121,-1.2469150259153516,1.696408539868603,0.12457708427359684,1.0359931270504263,0.30089085801476384,0.8689042086081593,-6.310394043528259e-17,0.6820328400835965
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,HTRA1,0.28639302509281983,-2.9862579259264224,2.476240387472525,-0.32040085393418255,1.0581694446919006,0.30016138209244,0.7881587537535076,9.160249418024891e-17,0.9139458908642238
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,IFI27,0.22902595452171245,-3.643423362762632,2.0038001141637753,-0.5024254770549589,0.7394761043902831,0.37975512182603827,0.6569133040292383,-3.4198264493959594e-16,1.2027191357270322
hoptimus0,CCRCC,0,nointercept_f64,55849,18371,4,IFI6,0.09427545837625863,-2.1210736434714788,1.365475088882124,-0.3222512167934096,0.6172743946626952,0.28406324762324253,0.6614391283542602,-2.1170354210546416e-16,0.8939899583219656
