task,ours,pearson_mean,abs_diff
CCRCC,0.21853870421857877,0.218,0.0005387042185787672
COAD,0.24800772805630328,0.2488,0.0007922719436967152
HCC,0.051949583313577616,0.0514,0.0005495833135776146
IDC,0.5363078273229017,0.5363,7.827322901721168e-06
LUNG,0.532163520214328,0.5321,6.352021432798338e-05
LYMPH_IDC,0.25058664178433915,0.2507,0.00011335821566083037
PAAD,0.44577279747083054,0.4467,0.0009272025291694463
PRAD,0.3549685318202864,0.3548,0.00016853182028642166
READ,0.15985615703189643,0.1602,0.0003438429681035804
SKCM,0.5797438380472688,0.5789,0.0008438380472688412
