task,ours,pearson_mean,abs_diff
CCRCC,0.2399524110972259,0.24,4.758890277409278e-05
COAD,0.2617078261148874,0.2616,0.00010782611488741045
HCC,0.07845722665517697,0.0784,5.722665517697567e-05
IDC,0.5735485628639261,0.5735,4.8562863926071564e-05
LUNG,0.5463991624325915,0.5464,8.375674085403517e-07
LYMPH_IDC,0.25586556892913837,0.2559,3.4431070861651314e-05
PAAD,0.4806479464767009,0.4807,5.2053523299122606e-05
PRAD,0.29404177981145485,0.2943,0.00025822018854515516
READ,0.1836229897703225,0.1836,2.2989770322473513e-05
SKCM,0.6346246139055611,0.6346,2.4613905561077232e-05
