arm,task,encoder,design,method,n_folds,coverage_mean,coverage_sd,coverage_min,coverage_max,width_mean,width_median,interval_score_mean,miss_above_mean,miss_below_mean,n_T_mean,n_C_mean,n_eff_mean,n_cells,n_cells_finite,n_infinite_spotgene,n_spotgene
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,25,0.98826354685562,0.0091585856164148,0.9615320910973084,0.9975631500742942,3.0307657140661757,2.857029316411478,3.0957110094100617,0.0113684907345141,0.0003679624098659,15707.306666666667,12486.4,7649.233105310738,75,75,0,4713750
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,pooled_quantile,25,0.8873934364601337,0.0410369353298882,0.803081232492997,0.9572667034787412,1.6009639759117502,1.489802020786252,2.288361906453569,0.0911949035100686,0.0214116600297976,15707.306666666667,12486.4,12486.4,75,75,0,4713750
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,25,0.8782113437385043,0.0414086516695574,0.7897665732959851,0.9542446755819712,1.5810965263271848,1.4542142411675647,2.316459365372318,0.0968730286423898,0.0249156276191059,16135.0,7236.533333333334,7236.533333333334,75,75,0,4713750
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,6,0.8891520544592586,0.0028528105926829,0.8865980987712261,0.8941213450625962,1.4232223946605826,1.288495100803323,2.026453791022438,0.0916226035589516,0.0192253419817897,16135.0,5238.0,5238.0,30,30,0,7856250
indiana,INDIANA_KIDNEY,resnet50,a4b_k10,hcp_w3,25,0.9879918563216424,0.0097436980097276,0.9614906832298136,0.99719782517775,3.157050520632692,2.9507020640363155,3.2287372424066114,0.0117277744261315,0.000280369252226,15707.306666666667,12486.4,7649.233105310738,75,75,0,4713750
indiana,INDIANA_KIDNEY,resnet50,a4b_k10,pooled_quantile,25,0.8869433184251531,0.0453808977346615,0.7869467787114846,0.957084483710657,1.6352901928876604,1.5057343915083214,2.375297009084719,0.0934537148626078,0.019602966712239,15707.306666666667,12486.4,12486.4,75,75,0,4713750
indiana,INDIANA_KIDNEY,resnet50,donor,pooled_quantile,25,0.8766201985063559,0.0418795353867539,0.7760410830999066,0.9534422981674098,1.5940869855088236,1.45277682868006,2.3884121285380178,0.1012685253906607,0.0221112761029833,16135.0,7236.533333333334,7236.533333333334,75,75,0,4713750
indiana,INDIANA_KIDNEY,resnet50,random,pooled_quantile,6,0.8865292128954535,0.0029066856344607,0.8839868287424684,0.8914055423086105,1.443882264196797,1.2947060904128622,2.158499491058319,0.1000082634503224,0.0134625236542241,16135.0,5238.0,5238.0,30,30,0,7856250
indiana,INDIANA_KIDNEY,uni_v2,a4b_k10,hcp_w3,25,0.9881951592800392,0.0093412473309585,0.9652919254658384,0.9970183259039128,3.0101584622423343,2.8428357677195195,3.074561718761166,0.0113669297770672,0.0004379109428935,15707.306666666667,12486.4,7649.233105310738,75,75,0,4713750
indiana,INDIANA_KIDNEY,uni_v2,a4b_k10,pooled_quantile,25,0.8868310732443508,0.0407204357118707,0.7961344537815126,0.9570679182771948,1.586343089804453,1.47878920039061,2.2728721602417865,0.0912453008089217,0.0219236259467274,15707.306666666667,12486.4,12486.4,75,75,0,4713750
indiana,INDIANA_KIDNEY,uni_v2,donor,pooled_quantile,25,0.8785707727479682,0.0416386191031291,0.7821101774042948,0.9541555225359089,1.5656882087490425,1.4409168193949042,2.3016660397288753,0.0967831645093163,0.0246460627427154,16135.0,7236.533333333334,7236.533333333334,75,75,0,4713750
indiana,INDIANA_KIDNEY,uni_v2,random,pooled_quantile,6,0.8893375618119798,0.0031592360625241,0.8862361348297009,0.8942054076596533,1.4214543771022692,1.2938011478108644,2.027328642497557,0.0913740213350506,0.0192884168529696,16135.0,5238.0,5238.0,30,30,0,7856250
