arm,task,encoder,design,method,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,n_cal_units,n_units_in_pool,K,n_eff,n_genes,n_off_panel,width_mean_spotgene,width_median_spotgene,n_infinite_spotgene,n_spotgene,finite,n_infinite_test_points,cal_shares_donor_with_test,n_train_natural,n_train_matched,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,n_cells,n_slides
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,0,0,0,spot,16135,4654,8158,4654,23267,,4654.0,50,0,1.403377333733702,1.277445190229694,0,407900,True,0,True,18613,16135,0.886167475792752,1.403377333733702,1.403377333733702,2.0361382908607033,0.0965333022028515,0.0172992220043964,1300,26
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,0,1,0,spot,16135,4654,8158,4654,23267,,4654.0,50,0,1.4386274761544238,1.3019489912930493,0,407900,True,0,True,18613,16135,0.8869806560424286,1.438627476154424,1.4386274761544238,2.0432945433858793,0.0915440847183226,0.0214752592392486,1300,26
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,0,2,0,spot,16135,4654,8158,4654,23267,,4654.0,50,0,1.4169468976248598,1.2675105061426986,0,407900,True,0,True,18613,16135,0.8880131476953077,1.41694689762486,1.41694689762486,2.0167953813997044,0.092810325822885,0.0191765264818072,1300,26
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,0,3,0,spot,16135,4654,8158,4654,23267,,4654.0,50,0,1.4343950536478216,1.364080012023713,0,407900,True,0,True,18613,16135,0.8903331456363927,1.4343950536478214,1.4343950536478216,2.0325895614375664,0.0908692182724098,0.0187976360911975,1300,26
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,0,4,0,spot,16135,4654,8158,4654,23267,,4654.0,50,0,1.4261818622386944,1.2668734939368942,0,407900,True,0,True,18613,16135,0.8828476341071333,1.4261818622386946,1.4261818622386946,2.0741086411216108,0.0964935340029732,0.0206588318898935,1300,26
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,1,0,0,spot,16135,5217,5343,5217,26082,,5217.0,50,0,1.4482766308268045,1.2954213161460637,0,267150,True,0,True,20865,16135,0.8877572775047593,1.4482766308268047,1.4482766308268047,2.0741489549560743,0.0943729463993857,0.017869776095855,1250,25
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,1,1,0,spot,16135,5217,5343,5217,26082,,5217.0,50,0,1.397643078381854,1.2642588524515936,0,267150,True,0,True,20865,16135,0.8871927237670857,1.397643078381854,1.397643078381854,2.024903185859741,0.0959345574984765,0.0168727187344376,1300,26
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,1,2,0,spot,16135,5217,5343,5217,26082,,5217.0,50,0,1.4491288969208873,1.38331371998994,0,267150,True,0,True,20865,16135,0.8866956520055188,1.4491288969208873,1.4491288969208873,2.069093438686627,0.0923067611113389,0.0209975868831423,1250,25
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,1,3,0,spot,16135,5217,5343,5217,26082,,5217.0,50,0,1.4231854777149122,1.2931009331182308,0,267150,True,0,True,20865,16135,0.8886366029584253,1.4231854777149122,1.4231854777149122,2.030013326641507,0.0931467014279799,0.0182166956135947,1250,25
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,1,4,0,spot,16135,5217,5343,5217,26082,,5217.0,50,0,1.4200823651865002,1.2761492568483122,0,267150,True,0,True,20865,16135,0.8870096766132738,1.4200823651865,1.4200823651865,2.0498170722644544,0.09353423748959,0.0194560858971362,1250,25
