encoder,protocol,balanced_accuracy_unadjusted,balanced_accuracy_adjusted,drop,fraction_above_chance_removed,composition_explains_majority
hoptimus0,block,1.0,0.8595894570141829,0.1404105429858171,0.2808210859716342,False
hoptimus0,slide_out,0.9999739583333334,0.8222463306906226,0.1777276276427107,0.3554737695442519,False
resnet50,block,0.9999182873018468,0.8330851499639742,0.1668331373378725,0.3337208131318869,False
resnet50,slide_out,0.9999479166666668,0.8322323973932879,0.1677155192733788,0.3354659829199784,False
uni_v2,block,1.0,0.8400825951250324,0.1599174048749676,0.3198348097499353,False
uni_v2,slide_out,0.9999739583333334,0.83184570460638,0.1681282537269534,0.3362740217258717,False
