encoder,design,score,coverage_bench_layout,coverage_hest_layout,coverage_diff_hest_minus_bench,coverage_sd_across_folds_bench,coverage_sd_across_folds_hest,coverage_move_within_fold_dispersion,coverage_a1_committed,pearson_pooled_bench_layout,pearson_pooled_hest_layout,pearson_pooled_diff,pearson_within_slide_bench_layout,pearson_within_slide_hest_layout,pearson_within_slide_diff,pearson_move_under_0p01,benchmark_pearson_source,width_bench_layout,width_hest_layout,n_train_matched_bench,n_train_matched_hest,n_folds,benchmark_pearson_committed_fixed,benchmark_pearson_sd_fixed,benchmark_n_splits,pearson_pooled_vs_benchmark_bench_layout,prediction8_pearson_move_under_0p01,prediction8_pearson_pooled_move_under_0p01,prediction8_coverage_move_under_fold_dispersion
hoptimus0,donor,abs,0.8610559868289842,0.8594027243612024,-0.0016532624677818,0.1408383112165928,0.1429100895235594,True,0.8610559868289842,0.1838267842938668,0.1808791823510526,-0.0029476019428142,0.1838267842938668,0.1808791823510526,-0.0029476019428142,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",2.097787657047743,2.1040981981331104,35996,35666,24,0.2677,0.0347,6,-0.08387321570613318,True,True,True
hoptimus0,patient,abs,0.8555883094612807,0.8550320031896576,-0.0005563062716231,0.0978798516456511,0.0983071973617707,True,0.8555883094612807,0.236752197872919,0.2380647950653405,0.0013125971924214,0.1902013470962858,0.1875649677150695,-0.0026363793812162,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",2.2085478824362874,2.217478697253831,35996,35666,6,0.2677,0.0347,6,-0.03094780212708098,True,True,True
hoptimus0,random,abs,0.8827673685178657,0.8824569421139069,-0.0003104264039588,0.0007668454529883,0.0005702590889072,True,0.8827673685178657,0.6519483397496633,0.6538320343235472,0.0018836945738839,0.2606036587306976,0.2582324627446065,-0.002371195986091,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",1.6048919070986445,1.6047871023570013,35996,35666,6,0.2677,0.0347,6,0.38424833974966327,True,True,True
resnet50,donor,abs,0.8660822785144952,0.8652595316835371,-0.000822746830958,0.1424600594450848,0.1438828888604564,True,0.8660822785144952,0.1523286168883553,0.1490666755891526,-0.0032619412992026,0.1523286168883553,0.1490666755891526,-0.0032619412992026,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",2.170052801784284,2.170648070585193,35996,35666,24,0.2252,0.0619,6,-0.0728713831116447,True,True,True
resnet50,patient,abs,0.851652491260023,0.8497161569500893,-0.0019363343099336,0.0958662326602859,0.0983655617434157,True,0.851652491260023,0.2069426428799955,0.2084593831831745,0.001516740303179,0.1526297367740277,0.1478715810121933,-0.0047581557618344,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",2.2695794531589204,2.2691199313923125,35996,35666,6,0.2252,0.0619,6,-0.018257357120004508,True,True,True
resnet50,random,abs,0.876716603355039,0.8760131616220219,-0.000703441733017,0.0009154449396306,0.0003151305760271,True,0.876716603355039,0.5726617144977761,0.5737495211590764,0.0010878066613002,0.1995015508221196,0.1966808187877751,-0.0028207320343444,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",1.721718669810733,1.7232107780382184,35996,35666,6,0.2252,0.0619,6,0.34746171449777613,True,True,True
uni_v2,donor,abs,0.8653727123020528,0.8639847889484452,-0.0013879233536076,0.1427347865078097,0.1442301972203242,True,0.8653727123020528,0.1932239502504294,0.1868529313610918,-0.0063710188893376,0.1932239502504294,0.1868529313610918,-0.0063710188893376,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",2.087155394187771,2.089622283016117,35996,35666,24,0.264,0.0512,6,-0.07077604974957061,True,True,True
uni_v2,patient,abs,0.8590642075202876,0.8587276458504772,-0.0003365616698103,0.0974695517866659,0.0989492160306538,True,0.8590642075202876,0.2434953576899215,0.2429415421752016,-0.0005538155147199,0.1979261066914579,0.1933712988351494,-0.0045548078563085,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",2.196642476803808,2.2032694529577097,35996,35666,6,0.264,0.0512,6,-0.020504642310078508,True,True,True
uni_v2,random,abs,0.8830176250299325,0.8824148053894706,-0.0006028196404619,0.0008983382512906,0.0008618303609094,True,0.8830176250299325,0.6526156466174736,0.6537781916029323,0.0011625449854586,0.2566625447524827,0.251679908621704,-0.0049826361307786,True,"results/summary/results_task.csv, head pca_ridge, 6 splits, the `patient` design",1.600984694553938,1.6021324588938242,35996,35666,6,0.264,0.0512,6,0.3886156466174736,True,True,True
