arm,task,encoder,gene,pearson_a4b_k10,pearson_donor,pearson_random,random_minus_donor,random_minus_a4b_k10,coverage_a4b_k10_hcp_w3,coverage_a4b_k10_pooled_quantile,coverage_donor_pooled_quantile,coverage_random_pooled_quantile,var_spot,var_slide,var_donor,frac_donor,frac_slide,n_donors,n_slides,df_donor,df_slide,donor_units_excluded
indiana,INDIANA_KIDNEY,hoptimus0,ACTA2,0.2427708007795003,0.2445024083927975,0.5714211015081369,0.3269186931153393,0.3286503007286365,0.9884010300738244,0.8844191281774281,0.8662562276373523,0.8734672559758895,0.3868393571645205,0.3521978621781024,0.0,0.0,0.4765630917633405,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ACY1,0.1970578340032638,0.2035393925932003,0.5073213915039526,0.3037819989107522,0.3102635575006888,0.9851227770133354,0.8520007891789316,0.8535361610337576,0.8544709003900628,0.1959769585459832,0.1425388452504741,0.0,0.0,0.4210699874330826,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ADGRF5,0.1693767069393337,0.180310297168253,0.4407194287115884,0.2604091315433353,0.2713427217722547,0.9842387087769756,0.8695484880549161,0.8563867262276935,0.9048969233092076,0.2734962914143695,0.1735543520005191,0.0,0.0,0.3882207856246182,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,AKR1A1,0.3541443371380007,0.3529770630624244,,,,0.975828664799253,0.7399487920168067,0.711982084500467,,0.2375693639994517,0.0985207128921561,0.0,0.0,0.2931378212750088,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,AKR1C3,0.1591739915181208,0.1579282014423763,0.4281124032876354,0.2701842018452591,0.2689384117695146,0.986009525158709,0.8504017917640254,0.8541762134986425,0.8788583393783347,0.1601189209184169,0.0202893044300333,0.0211624088372146,0.1049875589403668,0.1006560529612912,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ALDH6A1,0.0530146394825697,0.0605906901028558,,,,1.0,0.9920535340861564,0.986755890143594,,0.2075468225002816,0.1705996109158777,0.0,0.0,0.4511469521864529,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ALS2CL,0.1032383357832243,0.1827030016564199,,,,0.9959970887918486,0.921324035521253,0.9151115237740606,,0.1523324200229875,0.0395364284944324,0.0,0.0,0.2060596537683545,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ANK2,-0.0086347640867268,-0.0372464120092267,,,,1.0,0.9892339544513457,0.9900621118012424,,0.1983136646603716,0.5933207705613379,0.0,0.0,0.7494883296671767,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,APOE,0.0098970282448767,0.0234414140393588,,,,0.9816413207288668,0.8081929031374161,0.9416358405260996,,0.5484568197158899,1.7029119605649323,0.0,0.0,0.7563896130568717,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,APOL1,0.1302281294225749,0.1336746621502676,0.3288084613985034,0.1951337992482357,0.1985803319759284,0.9946864060356786,0.8940454715414597,0.8909241715638231,0.8837655719864222,0.1618792359729704,0.0089083148116781,0.0093630490060351,0.0519734545259024,0.0494492653481513,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,AQP2,0.2375745089258551,0.2286650471942215,0.6714743905663192,0.4428093433720976,0.4338998816404641,0.986826509067817,0.8910387673030482,0.8884804875862099,0.8985389337053943,0.6344437203383749,0.0060055027978155,0.5332859132852595,0.4543494496647445,0.0051165740987574,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,AQP3,0.28860974281054,0.3270539173131769,,,,0.9805452801753666,0.7644882860665844,0.7183175777503767,,0.2918247433828435,0.012228577332312,0.0277695979433295,0.0836880046007618,0.0368527206672479,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ARG2,0.1506159721311898,0.146914887376805,0.3608260287738479,0.2139111413970429,0.2102100566426581,0.989718168064074,0.9115454530282578,0.8969856513205356,0.919354054892628,0.1671284668860667,0.0018855342032676,0.0194530802569622,0.1032173901033592,0.0100045811172886,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,ASS1,0.3230740027621192,0.3285082958390568,,,,0.924075924075924,0.6866466866466867,0.7007437007437008,,0.3729737494585763,0.9467582435254556,0.0,0.0,0.7173867486418591,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,BHMT2,0.2420107012039038,0.2434590493889717,0.5152219637604517,0.2717629143714799,0.2732112625565479,0.9908058740011852,0.8635888871327905,0.860652230958442,0.8547220698429598,0.2195595836325144,0.358454989950204,0.0,0.0,0.6201487061621748,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,BICDL1,0.1487129280876704,0.1491349697848647,0.3755697266314536,0.2264347568465888,0.2268567985437832,0.9939702302052872,0.901692012320638,0.8858627974330064,0.889156662608604,0.1466185120585839,2.694393584124729e-05,0.0214268230105353,0.1274857646804622,0.0001603115992759,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,BOLA3,0.1287502030822015,0.1221626555617001,0.3807911683839652,0.258628512822265,0.2520409653017637,0.9930677575508532,0.9227800399491486,0.8963110586449883,0.905265254022562,0.1381975844984635,0.002116262047045,0.0197846695831315,0.1235780946728729,0.0132184988232158,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,BTG2,0.0532994958677645,0.0678672091603865,0.5818730106713248,0.5140058015109383,0.5285735148035603,0.9990094105993066,0.934125804853888,0.9995047052996532,0.9033108946320696,0.2291570341799545,0.0063854408491288,0.2023874029878432,0.4621456839261848,0.0145809664278764,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,C1QBP,,,0.4290126703499618,,,,,,0.8970226647200131,0.1528479557256985,0.0026724256492656,0.0278274859618878,0.1517742549509035,0.0145757116681142,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,CAPS,,,0.3947757886853284,,,,,,0.9026160704327728,0.1495600543841589,0.0007955979345002,0.0210954718302658,0.1230407320744191,0.0046403774746275,25,26,24,1,
indiana,INDIANA_KIDNEY,hoptimus0,CCL2,0.0621328031634492,0.0951646878737173,,,,0.9990094105993066,0.993065874195146,0.991579990094106,,0.2271260215837498,0.0,0.0870775683789897,0.2771374075939615,0.0,25,26,24,1,
