arm,task,encoder,design,method,fold,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,width_mean_spotgene,width_median_spotgene,n_T,n_C,n_eff
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_10x_Avaden_block,0.8987139173732821,3.4872603280415877,3.487260328041588,4.671724359444195,0.026575947180578,0.07471013544614,3.487260328041588,3.087695415405767,53824.0,22463.333333333332,22463.333333333332
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_10x_BioIVT_block,0.9041684638603869,3.994857701121135,3.994857701121135,5.055707348942262,0.0793486188777883,0.0164829172618249,3.9948577011211346,3.6188043223174495,53824.0,23904.0,23904.0
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_Janesick_Sample1,0.7514243890642893,3.7390440080198233,3.7390440080198233,7.295515023634843,0.220734126349538,0.0278414845861726,3.739044008019824,3.3748186700289105,53824.0,25723.666666666668,25723.666666666668
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_Janesick_Sample2,0.9191278682281254,3.632869948185571,3.632869948185571,4.490974820806471,0.0381224412072741,0.0427496905646005,3.6328699481855704,3.181676210215544,53824.0,31899.333333333332,31899.333333333332
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S1-Bottom,0.8874354818601172,3.618050454270627,3.618050454270626,4.74388626148921,0.09508540082284,0.0174791173170427,3.618050454270626,3.1959287393482216,53824.0,46077.666666666664,46077.666666666664
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S1-Middle,0.8947009085657266,3.441455238997692,3.441455238997692,4.552551818458458,0.0617919226931358,0.0435071687411375,3.441455238997692,3.1529955763919726,53824.0,34115.666666666664,34115.666666666664
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S1-Top,0.8774338250151547,3.4627991261279667,3.4627991261279667,5.70909550953317,0.05714420421634,0.0654219707685054,3.4627991261279667,3.2027612568078747,53824.0,39281.0,39281.0
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S2-Bottom,0.8658661979567176,3.5622008326681347,3.5622008326681347,5.365471067838512,0.0470416346259474,0.0870921674173349,3.5622008326681347,3.07500715449313,53824.0,32503.0,32503.0
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S2-Middle,0.920494616778595,3.7434897986030538,3.743489798603054,4.426281527684385,0.0273009274064598,0.0522044558149451,3.7434897986030538,3.3037740298489653,53824.0,38748.666666666664,38748.666666666664
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,breastXen_biomarker_S3-Bottom,0.9152751955142394,3.594157955407708,3.594157955407709,4.420637380627066,0.0360100339383207,0.0487147705474398,3.594157955407709,3.0265148488702796,53824.0,39073.333333333336,39073.333333333336
