encoder,arm,design,fold,coverage,width_mean,interval_score,calibration_unit
resnet50,hest,random,4,0.8760744838283208,1.7219627860537077,2.4589012404920108,spot
resnet50,hest,random,5,0.8763498146906313,1.7239585108449778,2.458649046619781,spot
uni_v2,bench,donor,INT1,0.8602706027060271,2.0089944850355246,2.666677158586338,donor
uni_v2,bench,donor,INT10,0.7919213313161876,2.073436342134753,3.8761687625352135,donor
uni_v2,bench,donor,INT11,0.7967199444058374,2.030798585118525,3.272957629196019,donor
uni_v2,bench,donor,INT12,0.8617367332873881,2.0862473889845923,2.7949729946631456,donor
uni_v2,bench,donor,INT13,0.9083000688231244,2.097338214274877,2.6426589768511177,donor
uni_v2,bench,donor,INT14,0.9679146573140436,2.166245888500568,2.2805219486021904,donor
uni_v2,bench,donor,INT15,0.928715249662618,2.0421502111781904,2.378552660555452,donor
uni_v2,bench,donor,INT16,0.9198190892077356,1.917926204311713,2.597923271853691,donor
uni_v2,bench,donor,INT17,0.9466331938633192,1.9558344295042904,2.206514167584908,donor
uni_v2,bench,donor,INT18,0.8691407256697185,2.20581375271698,3.230797010110285,donor
uni_v2,bench,donor,INT19,0.9817515494475882,2.08599383594249,2.1484826167768403,donor
uni_v2,bench,donor,INT2,0.9049741602067184,2.0870931933788617,2.5490230426263767,donor
uni_v2,bench,donor,INT20,0.961880658436214,1.9854396690589515,2.119891414441941,donor
uni_v2,bench,donor,INT21,0.9145005025125628,2.245570623210829,2.8381487790466853,donor
uni_v2,bench,donor,INT22,0.8468703752067555,1.9824948440078425,2.830741331156727,donor
uni_v2,bench,donor,INT23,0.8643406940063091,2.260117068242703,3.3498564549507024,donor
uni_v2,bench,donor,INT24,0.9277324464153732,2.110837677213176,2.7777593716780338,donor
uni_v2,bench,donor,INT3,0.9713336655040692,2.39970994310411,2.5177915566717703,donor
uni_v2,bench,donor,INT4,0.8911885347170744,1.9976678850535117,2.5365819218022927,donor
uni_v2,bench,donor,INT5,0.2580719505340079,1.9351207886916757,17.72636241355656,donor
uni_v2,bench,donor,INT6,0.8864243146603098,2.157209157459049,2.7792666112851987,donor
uni_v2,bench,donor,INT7,0.8463689974726201,1.983507365736859,3.044097121895129,donor
uni_v2,bench,donor,INT8,0.7374653668547974,1.9978061994019212,4.280718183380582,donor
uni_v2,bench,donor,INT9,0.924870283018868,2.2783757082445075,2.646003120081231,donor
uni_v2,bench,patient,0,0.9538674381282704,2.4505752089687785,2.7551736622402347,patient
uni_v2,bench,patient,1,0.7900860730240155,1.9768513756447528,3.439133126316197,patient
uni_v2,bench,patient,2,0.8332990820403902,2.304619685923472,3.5749808968581447,patient
uni_v2,bench,patient,3,0.7118422909295585,1.9021237117674712,6.4920010774754,patient
uni_v2,bench,patient,4,0.9154772092986708,2.176940656649604,2.647973941664884,patient
uni_v2,bench,patient,5,0.9498131517008196,2.368744221868764,2.7360013920612034,patient
uni_v2,bench,random,0,0.8837730090009993,1.6009879115614551,2.1763234613346696,spot
uni_v2,bench,random,1,0.883977432991195,1.6022712619904182,2.1833831293880444,spot
uni_v2,bench,random,2,0.8826559519098639,1.6000750512716784,2.187371611601784,spot
uni_v2,bench,random,3,0.8815017056679817,1.6006304336052193,2.202979919595037,spot
uni_v2,bench,random,4,0.8833237873853875,1.601016572679309,2.1827438164734656,spot
uni_v2,bench,random,5,0.8828738632241677,1.6009269362155476,2.1904346140597557,spot
uni_v2,hest,donor,INT1,0.8619444444444445,2.0119113279718537,2.6676412103649416,donor
uni_v2,hest,donor,INT10,0.7878268222560459,2.071067524291999,3.944791975934775,donor
uni_v2,hest,donor,INT11,0.7922619047619048,2.0314393911099744,3.326182214916679,donor
uni_v2,hest,donor,INT12,0.85223908045977,2.079599018786757,2.854051482925031,donor
uni_v2,hest,donor,INT13,0.9118482832453928,2.102776295469812,2.6147649374094724,donor
uni_v2,hest,donor,INT14,0.966463405717628,2.1713476678375483,2.2924647647505534,donor
uni_v2,hest,donor,INT15,0.9302793522267206,2.055855133302948,2.392434905260347,donor
uni_v2,hest,donor,INT16,0.9196981053508224,1.9288675360586505,2.624257765812048,donor
uni_v2,hest,donor,INT17,0.9457700892857144,1.9633933212543628,2.2193718909623983,donor
uni_v2,hest,donor,INT18,0.8656315289648623,2.206448642192905,3.295607536527996,donor
uni_v2,hest,donor,INT19,0.980736998113716,2.0878071420241766,2.154878909075347,donor
uni_v2,hest,donor,INT2,0.9007844680571954,2.097388166118055,2.58393029746744,donor
uni_v2,hest,donor,INT20,0.96299451303155,1.9799739943860115,2.111424957342252,donor
uni_v2,hest,donor,INT21,0.9171236559139784,2.249270845179209,2.817923471819906,donor
uni_v2,hest,donor,INT22,0.8447273044084335,1.9697277154393376,2.791924441469177,donor
uni_v2,hest,donor,INT23,0.8691160182264284,2.2673577847958666,3.3047899626940413,donor
uni_v2,hest,donor,INT24,0.9281582273775002,2.109194152525861,2.779511295223668,donor
uni_v2,hest,donor,INT3,0.9705524581855044,2.405554027772625,2.529744494464134,donor
uni_v2,hest,donor,INT4,0.8819707835325366,1.990920044488797,2.590396894168982,donor
uni_v2,hest,donor,INT5,0.2505123776626367,1.9342490872669584,17.914053023635162,donor
uni_v2,hest,donor,INT6,0.8849670065986803,2.165449078875383,2.7905999178656646,donor
uni_v2,hest,donor,INT7,0.8438006494423268,1.9807600395937652,3.075330804157465,donor
uni_v2,hest,donor,INT8,0.7396396396396397,2.0008346166416184,4.240949209668238,donor
uni_v2,hest,donor,INT9,0.9265878178592548,2.28974223900235,2.6539670905849504,donor
uni_v2,hest,patient,0,0.9547869094645448,2.461811374798112,2.7584931534572323,patient
uni_v2,hest,patient,1,0.7928950636290754,1.9715356497602787,3.3995750529099698,patient
uni_v2,hest,patient,2,0.8334977218119436,2.3331756181980223,3.610273952845122,patient
uni_v2,hest,patient,3,0.706054754160312,1.9009838611860008,6.582011745772256,patient
uni_v2,hest,patient,4,0.9160771638532964,2.182317241212832,2.6472473510135224,patient
uni_v2,hest,patient,5,0.9490542621836916,2.3697929725910134,2.7456248170255404,patient
uni_v2,hest,random,0,0.8829239041073119,1.6043630650774616,2.186933046217564,spot
uni_v2,hest,random,1,0.881284895869791,1.601688121531656,2.196285346108686,spot
uni_v2,hest,random,2,0.8823205336660443,1.6027226503130767,2.1889357326199472,spot
uni_v2,hest,random,3,0.8820068857158455,1.598811443019103,2.187661194568928,spot
uni_v2,hest,random,4,0.8821480467952109,1.6013668093638125,2.1894394814484173,spot
uni_v2,hest,random,5,0.8838045661826204,1.6038426640578345,2.179805710248655,spot
