encoder,arm,design,fold,coverage,width_mean,interval_score,calibration_unit
hoptimus0,bench,donor,INT1,0.7575461254612547,2.0120503025535945,3.420381574348788,donor
hoptimus0,bench,donor,INT10,0.8118440073962011,2.082780682960944,3.651377116737849,donor
hoptimus0,bench,donor,INT11,0.7897567755385685,2.016114185699548,3.3868946727925757,donor
hoptimus0,bench,donor,INT12,0.815860326211808,2.103339545155503,3.096332231784022,donor
hoptimus0,bench,donor,INT13,0.8976386021258698,2.12142834568707,2.7579481290507544,donor
hoptimus0,bench,donor,INT14,0.9651395586730964,2.1372797801079155,2.270398628149105,donor
hoptimus0,bench,donor,INT15,0.9195060728744938,2.049149847342828,2.4569779361839323,donor
hoptimus0,bench,donor,INT16,0.9160677895612396,1.971368338729012,2.686544407300369,donor
hoptimus0,bench,donor,INT17,0.9427466294746628,1.9732452181998448,2.2447517130047303,donor
hoptimus0,bench,donor,INT18,0.873482536453035,2.23527877637156,3.18635699905512,donor
hoptimus0,bench,donor,INT19,0.9759350579358662,2.081160254785728,2.170087443467052,donor
hoptimus0,bench,donor,INT2,0.9212222222222222,2.1020665183202025,2.5187102966882704,donor
hoptimus0,bench,donor,INT20,0.965824417009602,2.0447961006103585,2.1714357876766384,donor
hoptimus0,bench,donor,INT21,0.9339671691792294,2.316437887125699,2.745029643888936,donor
hoptimus0,bench,donor,INT22,0.8689892922434056,1.9261223606692883,2.6774011934272672,donor
hoptimus0,bench,donor,INT23,0.8598247458815281,2.260822941835804,3.3916458776950726,donor
hoptimus0,bench,donor,INT24,0.9190022172949002,2.128006098237854,2.8756601722541144,donor
hoptimus0,bench,donor,INT3,0.9619199468526825,2.363377894647399,2.521533029896346,donor
hoptimus0,bench,donor,INT4,0.8758191252779838,2.018326786773334,2.6988690856198896,donor
hoptimus0,bench,donor,INT5,0.2708544125913434,1.9613220109132703,17.179127845492,donor
hoptimus0,bench,donor,INT6,0.8902940007945968,2.147375306248883,2.73517289569984,donor
hoptimus0,bench,donor,INT7,0.85722549845549,2.00009585445444,3.0271239241537056,donor
hoptimus0,bench,donor,INT8,0.7560013682230204,2.0188370597177587,4.015437115270965,donor
hoptimus0,bench,donor,INT9,0.918875786163522,2.2761216719979984,2.690752742428686,donor
hoptimus0,bench,patient,0,0.9503548026678508,2.505768514221728,2.842895945593892,patient
hoptimus0,bench,patient,1,0.7878004273427001,1.9886353050831516,3.530895474305291,patient
hoptimus0,bench,patient,2,0.8459109613638067,2.315469800032482,3.458635512257422,patient
hoptimus0,bench,patient,3,0.7013660895586025,1.92118339430672,6.5994354144818885,patient
hoptimus0,bench,patient,4,0.9008688052243256,2.190530057953348,2.8032240165841884,patient
hoptimus0,bench,patient,5,0.9472287706103992,2.329700223020294,2.698344865791178,patient
hoptimus0,bench,random,0,0.8832149486694387,1.604464781570066,2.176512604653117,spot
hoptimus0,bench,random,1,0.884009002114474,1.6067860333669155,2.1765205265814,spot
hoptimus0,bench,random,2,0.8822685442126872,1.6026203639579464,2.18187226003106,spot
hoptimus0,bench,random,3,0.8829309565185548,1.6067732893926894,2.1944278331564075,spot
hoptimus0,bench,random,4,0.8820353180891948,1.603234326715261,2.1843738412513285,spot
hoptimus0,bench,random,5,0.882145441502845,1.6054726475889864,2.1876053030644407,spot
hoptimus0,hest,donor,INT1,0.7381395348837209,2.007199512428781,3.6208642798631536,donor
hoptimus0,hest,donor,INT10,0.8135261288685945,2.0927534889877686,3.638880967226101,donor
hoptimus0,hest,donor,INT11,0.7810809523809524,2.0251182314657568,3.4842747196306054,donor
hoptimus0,hest,donor,INT12,0.8105011494252873,2.107972924690825,3.1649236354255765,donor
hoptimus0,hest,donor,INT13,0.899747648543244,2.12220020596789,2.738072772982596,donor
hoptimus0,hest,donor,INT14,0.9673758865248226,2.159255368383601,2.279499050775455,donor
hoptimus0,hest,donor,INT15,0.9185775978407557,2.072030872096391,2.4969331188975468,donor
hoptimus0,hest,donor,INT16,0.9188840308140744,1.9824505099866456,2.672155398600413,donor
hoptimus0,hest,donor,INT17,0.940571056547619,1.9751877874223356,2.2642257823930887,donor
hoptimus0,hest,donor,INT18,0.8744661511328178,2.2381845990860163,3.178473785640484,donor
hoptimus0,hest,donor,INT19,0.9764524386957693,2.090932067732155,2.1773212450348773,donor
hoptimus0,hest,donor,INT2,0.9193309720582448,2.0963219542732827,2.5244166303296667,donor
hoptimus0,hest,donor,INT20,0.967644718792867,2.058164749244055,2.171831260755825,donor
hoptimus0,hest,donor,INT21,0.934782258064516,2.3244232287793136,2.746482085459558,donor
hoptimus0,hest,donor,INT22,0.8679874542603242,1.9249752711215136,2.6618285393062724,donor
hoptimus0,hest,donor,INT23,0.8567613038906413,2.2643076765822614,3.435438616615876,donor
hoptimus0,hest,donor,INT24,0.9182600936872628,2.136423869119495,2.8951724383551074,donor
hoptimus0,hest,donor,INT3,0.9628856225713802,2.374143027898129,2.5294897852442046,donor
hoptimus0,hest,donor,INT4,0.8721646746347943,2.0249737693332595,2.735662522649628,donor
hoptimus0,hest,donor,INT5,0.265308002302821,1.9682363628833877,17.37852121410329,donor
hoptimus0,hest,donor,INT6,0.8903939212157569,2.160527786131865,2.7513679659356582,donor
hoptimus0,hest,donor,INT7,0.8545983340392489,1.992856127529609,3.034008886296873,donor
hoptimus0,hest,donor,INT8,0.7565211365211365,2.0182769247516483,4.003801091642044,donor
hoptimus0,hest,donor,INT9,0.9197043169722058,2.2814404392986645,2.6929520188919085,donor
hoptimus0,hest,patient,0,0.9518755449417414,2.52673052838262,2.853872515373945,patient
hoptimus0,hest,patient,1,0.7858928637566623,1.9932166644394933,3.5678519231507213,patient
hoptimus0,hest,patient,2,0.844836657317232,2.319793444434602,3.4822657077860897,patient
hoptimus0,hest,patient,3,0.7015121048230516,1.9202128606274704,6.643681742078335,patient
hoptimus0,hest,patient,4,0.8981290495221,2.2027833264633787,2.8371756293545505,patient
hoptimus0,hest,patient,5,0.947945798777158,2.3421353591754213,2.7057622938388497,patient
hoptimus0,hest,random,0,0.882927779628052,1.6074901607321124,2.1820076338449623,spot
hoptimus0,hest,random,1,0.8818444036911266,1.60493998445504,2.1871252141376325,spot
hoptimus0,hest,random,2,0.8823389355205519,1.6055816642155754,2.1868402582200863,spot
hoptimus0,hest,random,3,0.8822167760631064,1.601914891383886,2.1762715043809373,spot
hoptimus0,hest,random,4,0.8820616875288152,1.6035472882040651,2.184957323697231,spot
hoptimus0,hest,random,5,0.8833520702517899,1.6052486251513294,2.176053884759605,spot
resnet50,bench,donor,INT1,0.7853997539975399,2.023307075204564,3.238220367954108,donor
resnet50,bench,donor,INT10,0.8049789880652211,2.2389039357378304,3.978254262842281,donor
resnet50,bench,donor,INT11,0.863080843178133,2.1046494471917403,2.952090565401715,donor
resnet50,bench,donor,INT12,0.8939444061566736,2.2912660763946726,2.863773039518199,donor
resnet50,bench,donor,INT13,0.9158201422344576,2.238127273884344,2.7508846659996866,donor
resnet50,bench,donor,INT14,0.970866578985825,2.188958550074456,2.292106309568522,donor
resnet50,bench,donor,INT15,0.9312456140350877,2.125363394084946,2.4489039524792138,donor
resnet50,bench,donor,INT16,0.9385901434809732,2.0868236632600725,2.630847515193855,donor
resnet50,bench,donor,INT17,0.9329019060901906,2.045113490089667,2.41837849681176,donor
resnet50,bench,donor,INT18,0.8728789420142421,2.253152209382914,3.1688473470941045,donor
resnet50,bench,donor,INT19,0.9716127728375102,2.170313598456916,2.296226848500391,donor
resnet50,bench,donor,INT2,0.9470077519379844,2.249886680094473,2.515810935618128,donor
resnet50,bench,donor,INT20,0.9624170096021948,2.0599236594341983,2.219055527735727,donor
resnet50,bench,donor,INT21,0.920692797319933,2.2958779688327446,2.8074596596421597,donor
resnet50,bench,donor,INT22,0.8608897014015845,2.0295558152172286,3.0108282096734,donor
resnet50,bench,donor,INT23,0.8645383806519452,2.3074677222939024,3.4923232797740287,donor
resnet50,bench,donor,INT24,0.9228011825572802,2.1455358175268624,2.8710377166989773,donor
resnet50,bench,donor,INT3,0.95715661850191,2.4030907580712246,2.600399925823005,donor
resnet50,bench,donor,INT4,0.90763528539659,2.151816448440946,2.6292963002750778,donor
resnet50,bench,donor,INT5,0.263282743114109,2.002151629469956,17.595457592828406,donor
resnet50,bench,donor,INT6,0.8732300357568534,2.272571977108175,2.9892848670008867,donor
resnet50,bench,donor,INT7,0.8369615276607695,2.0305777471109714,3.3607458582519656,donor
resnet50,bench,donor,INT8,0.7218505216350266,2.048446542595418,4.788090687407606,donor
resnet50,bench,donor,INT9,0.8661910377358492,2.3183857628645925,3.289662640717548,donor
resnet50,bench,patient,0,0.9531804512785612,2.546390728248856,2.859611832165634,patient
resnet50,bench,patient,1,0.7611313582544464,2.0425185522717246,4.016585303247729,patient
resnet50,bench,patient,2,0.8171576162844363,2.3024857742021663,3.882280108022831,patient
resnet50,bench,patient,3,0.7319067439494912,1.990258071848187,6.339358161636542,patient
resnet50,bench,patient,4,0.8944356397168134,2.282859866766344,3.009944151197994,patient
resnet50,bench,patient,5,0.952103138076389,2.452963725616245,2.801698808704591,patient
resnet50,bench,random,0,0.8774346932982168,1.724217924837918,2.4470105632966037,spot
resnet50,bench,random,1,0.8777506460448812,1.7237650412709464,2.437829022968656,spot
resnet50,bench,random,2,0.8752518819869346,1.7182859181797254,2.4616155546905434,spot
resnet50,bench,random,3,0.8760975666746784,1.7220619291632775,2.451312052857235,spot
resnet50,bench,random,4,0.8769865720291523,1.7198612534330942,2.4576212870998555,spot
resnet50,bench,random,5,0.8767782600963712,1.722119951979435,2.45200713920895,spot
resnet50,hest,donor,INT1,0.7826033591731266,2.016602384941894,3.2525332242343445,donor
resnet50,hest,donor,INT10,0.8082902080162354,2.239292874067084,3.9305160860402384,donor
resnet50,hest,donor,INT11,0.8609857142857141,2.107511509577392,2.966448630222645,donor
resnet50,hest,donor,INT12,0.8896137931034481,2.291580980458362,2.895068725030741,donor
resnet50,hest,donor,INT13,0.9175254263210216,2.2340702894500546,2.731022598835638,donor
resnet50,hest,donor,INT14,0.9713577538933976,2.1990900598164056,2.301533987682369,donor
resnet50,hest,donor,INT15,0.9321255060728744,2.12539557866315,2.4449279896100595,donor
resnet50,hest,donor,INT16,0.936450135332084,2.096966787749962,2.641480562784837,donor
resnet50,hest,donor,INT17,0.9330505952380952,2.046602570717737,2.41865947891233,donor
resnet50,hest,donor,INT18,0.8746235246235247,2.2622411810471204,3.1703604248403026,donor
resnet50,hest,donor,INT19,0.9711304230665588,2.1622751680579664,2.289363105108845,donor
resnet50,hest,donor,INT2,0.9470680834317196,2.253510909275608,2.5213867327775965,donor
resnet50,hest,donor,INT20,0.9618203017832648,2.063516544101562,2.2274108886408928,donor
resnet50,hest,donor,INT21,0.9210779569892472,2.302130037923892,2.812923038168878,donor
resnet50,hest,donor,INT22,0.864580937445548,2.0297824256698247,2.99753258394572,donor
resnet50,hest,donor,INT23,0.8656011216263582,2.305569263671696,3.47275441313278,donor
resnet50,hest,donor,INT24,0.9215718640791136,2.143737458205845,2.8781767951222235,donor
resnet50,hest,donor,INT3,0.9559486399729684,2.403046247071737,2.604570686382161,donor
resnet50,hest,donor,INT4,0.9014395750332004,2.1511952397804026,2.675067650172716,donor
resnet50,hest,donor,INT5,0.2563672999424294,2.002653973550744,17.80821964704513,donor
resnet50,hest,donor,INT6,0.8715336932613477,2.265294084705295,2.9832590584849945,donor
resnet50,hest,donor,INT7,0.8396781024989411,2.029394862147304,3.330587819383272,donor
resnet50,hest,donor,INT8,0.7144005544005544,2.050999642248046,4.903206013667678,donor
resnet50,hest,donor,INT9,0.8673841908141139,2.3130936211455566,3.26418016039766,donor
resnet50,hest,patient,0,0.9534363701774772,2.5409226130603737,2.8526046767827844,patient
resnet50,hest,patient,1,0.7554512227205435,2.039744644447867,4.093887204053448,patient
resnet50,hest,patient,2,0.8153735129123882,2.307801403384284,3.910909227031027,patient
resnet50,hest,patient,3,0.727329431991687,1.985635720496063,6.440024099985295,patient
resnet50,hest,patient,4,0.8939219108604696,2.2834370108728463,3.00331090810034,patient
resnet50,hest,patient,5,0.95278449303797,2.4571781960924413,2.799454910991196,patient
resnet50,hest,random,0,0.8764030419248965,1.726010316432736,2.4656907155228707,spot
resnet50,hest,random,1,0.8757764022274749,1.7240459563671495,2.480985033937765,spot
resnet50,hest,random,2,0.8758364202485012,1.7241306732174084,2.472132734440865,spot
resnet50,hest,random,3,0.8756388068123069,1.719156425313331,2.465190150695128,spot
