arm,task,encoder,design,method,n_folds,coverage_mean,coverage_sd,coverage_min,coverage_max,width_mean,width_median,interval_score_mean,miss_above_mean,miss_below_mean,n_T_mean,n_C_mean,n_eff_mean,n_cells,n_cells_finite,n_infinite_spotgene,n_spotgene
breast,BREAST_XENIUM,hoptimus0,donor,pooled_quantile,15,0.8858628390983431,0.0508078079069152,0.7514243890642893,0.933695512132274,3.646076158182189,3.248632735295457,5.132331639177184,0.0664959176412134,0.0476412432604434,53824.0,36013.088888888895,36013.088888888895,45,45,0,20149950
breast,BREAST_XENIUM,hoptimus0,random,pooled_quantile,5,0.8882225254739915,0.0005008077950667,0.8874730365614264,0.8886826415520777,2.3169605739434425,2.2588979618953298,3.250799312987818,0.0582293446457707,0.0535481298802378,53824.0,21493.6,21493.6,25,25,0,33583250
breast,BREAST_XENIUM,resnet50,donor,pooled_quantile,15,0.8864294658719921,0.0450677847914356,0.7442227122941203,0.9392026340276286,4.1910727352053625,3.948220353527647,5.765462418736498,0.0694284938719236,0.0441420402560842,53824.0,36013.088888888895,36013.088888888895,45,45,0,20149950
breast,BREAST_XENIUM,resnet50,random,pooled_quantile,5,0.8870550575094855,0.000536276012979,0.8862813025197356,0.8877921702833778,2.9432050188776007,2.9035305536680096,4.094702628445181,0.0630236765738936,0.0499212659166208,53824.0,21493.6,21493.6,25,25,0,33583250
breast,BREAST_XENIUM,uni_v2,donor,pooled_quantile,15,0.8860610513430697,0.0408870331186032,0.7923534983704603,0.9292462958986472,3.5586640291359,3.226811357329603,4.991565673374529,0.0647474541903821,0.0491914944665481,53824.0,36013.088888888895,36013.088888888895,45,45,0,20149950
breast,BREAST_XENIUM,uni_v2,random,pooled_quantile,5,0.8878203167776549,0.000531728028802,0.8870163035522476,0.8884343405907181,2.3326499040698887,2.2861849310989157,3.2700165463235606,0.0578164416240229,0.054363241598322,53824.0,21493.6,21493.6,25,25,0,33583250
