encoder,protocol,adjustment,held_out_slide,population,accuracy_on_held_out_slide,n_train,n_test
hoptimus0,slide_out,none,INT1,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT10,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT11,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT12,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT13,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT14,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT15,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT16,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT17,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT18,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT19,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT2,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT20,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT21,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT22,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT23,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT24,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT3,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT4,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT5,cordeliers_ccRCC,0.99875,38029,800
hoptimus0,slide_out,none,INT6,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT7,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT8,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,INT9,cordeliers_ccRCC,1.0,38029,800
hoptimus0,slide_out,none,NCBI562,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI563,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI564,indiana_nontumour,1.0,38631,198
hoptimus0,slide_out,none,NCBI565,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI566,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI567,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI568,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI692,indiana_nontumour,1.0,38472,357
hoptimus0,slide_out,none,NCBI693,indiana_nontumour,1.0,38327,502
hoptimus0,slide_out,none,NCBI694,indiana_nontumour,1.0,38189,640
hoptimus0,slide_out,none,NCBI695,indiana_nontumour,1.0,38158,671
hoptimus0,slide_out,none,NCBI696,indiana_nontumour,1.0,38184,645
hoptimus0,slide_out,none,NCBI697,indiana_nontumour,1.0,38526,303
hoptimus0,slide_out,none,NCBI698,indiana_nontumour,1.0,38424,405
hoptimus0,slide_out,none,NCBI699,indiana_nontumour,1.0,38042,787
hoptimus0,slide_out,none,NCBI700,indiana_nontumour,1.0,38228,601
hoptimus0,slide_out,none,NCBI701,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI702,indiana_nontumour,1.0,38371,458
hoptimus0,slide_out,none,NCBI703,indiana_nontumour,1.0,38379,450
hoptimus0,slide_out,none,NCBI704,indiana_nontumour,1.0,38305,524
hoptimus0,slide_out,none,NCBI705,indiana_nontumour,1.0,38278,551
hoptimus0,slide_out,none,NCBI706,indiana_nontumour,1.0,38165,664
hoptimus0,slide_out,none,NCBI707,indiana_nontumour,1.0,38156,673
hoptimus0,slide_out,none,NCBI708,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI709,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI710,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI711,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI712,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI713,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,none,NCBI714,indiana_nontumour,1.0,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT1,cordeliers_ccRCC,0.94625,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT10,cordeliers_ccRCC,0.9475,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT11,cordeliers_ccRCC,0.855,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT12,cordeliers_ccRCC,0.6575,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT13,cordeliers_ccRCC,0.92375,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT14,cordeliers_ccRCC,0.915,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT15,cordeliers_ccRCC,0.215,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT16,cordeliers_ccRCC,0.965,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT17,cordeliers_ccRCC,0.6375,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT18,cordeliers_ccRCC,0.29875,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT19,cordeliers_ccRCC,0.8975,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT2,cordeliers_ccRCC,0.97,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT20,cordeliers_ccRCC,0.98875,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT21,cordeliers_ccRCC,0.21,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT22,cordeliers_ccRCC,0.99625,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT23,cordeliers_ccRCC,0.9025,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT24,cordeliers_ccRCC,0.85875,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT3,cordeliers_ccRCC,0.8775,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT4,cordeliers_ccRCC,0.815,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT5,cordeliers_ccRCC,0.42125,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT6,cordeliers_ccRCC,0.9825,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT7,cordeliers_ccRCC,0.8975,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT8,cordeliers_ccRCC,0.44,38029,800
hoptimus0,slide_out,morphology_v2_ext,INT9,cordeliers_ccRCC,0.32375,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI562,indiana_nontumour,0.9675,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI563,indiana_nontumour,0.9825,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI564,indiana_nontumour,1.0,38631,198
hoptimus0,slide_out,morphology_v2_ext,NCBI565,indiana_nontumour,0.91875,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI566,indiana_nontumour,0.965,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI567,indiana_nontumour,0.945,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI568,indiana_nontumour,0.99375,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI692,indiana_nontumour,0.9607843137254902,38472,357
hoptimus0,slide_out,morphology_v2_ext,NCBI693,indiana_nontumour,0.9223107569721116,38327,502
hoptimus0,slide_out,morphology_v2_ext,NCBI694,indiana_nontumour,0.9078125,38189,640
hoptimus0,slide_out,morphology_v2_ext,NCBI695,indiana_nontumour,0.7704918032786885,38158,671
hoptimus0,slide_out,morphology_v2_ext,NCBI696,indiana_nontumour,0.958139534883721,38184,645
hoptimus0,slide_out,morphology_v2_ext,NCBI697,indiana_nontumour,0.9834983498349836,38526,303
hoptimus0,slide_out,morphology_v2_ext,NCBI698,indiana_nontumour,0.671604938271605,38424,405
hoptimus0,slide_out,morphology_v2_ext,NCBI699,indiana_nontumour,0.9822109275730624,38042,787
hoptimus0,slide_out,morphology_v2_ext,NCBI700,indiana_nontumour,0.9833610648918468,38228,601
hoptimus0,slide_out,morphology_v2_ext,NCBI701,indiana_nontumour,0.93875,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI702,indiana_nontumour,0.9279475982532752,38371,458
hoptimus0,slide_out,morphology_v2_ext,NCBI703,indiana_nontumour,0.8555555555555555,38379,450
hoptimus0,slide_out,morphology_v2_ext,NCBI704,indiana_nontumour,0.916030534351145,38305,524
hoptimus0,slide_out,morphology_v2_ext,NCBI705,indiana_nontumour,0.5626134301270418,38278,551
hoptimus0,slide_out,morphology_v2_ext,NCBI706,indiana_nontumour,0.9457831325301204,38165,664
hoptimus0,slide_out,morphology_v2_ext,NCBI707,indiana_nontumour,0.8410104011887073,38156,673
hoptimus0,slide_out,morphology_v2_ext,NCBI708,indiana_nontumour,0.7625,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI709,indiana_nontumour,0.96125,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI710,indiana_nontumour,0.90375,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI711,indiana_nontumour,0.99125,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI712,indiana_nontumour,0.94875,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI713,indiana_nontumour,0.98875,38029,800
hoptimus0,slide_out,morphology_v2_ext,NCBI714,indiana_nontumour,0.45,38029,800
resnet50,slide_out,none,INT1,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT10,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT11,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT12,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT13,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT14,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT15,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT16,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT17,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT18,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT19,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT2,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT20,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT21,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT22,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT23,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT24,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT3,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT4,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT5,cordeliers_ccRCC,0.9975,38029,800
resnet50,slide_out,none,INT6,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT7,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT8,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,INT9,cordeliers_ccRCC,1.0,38029,800
resnet50,slide_out,none,NCBI562,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI563,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI564,indiana_nontumour,1.0,38631,198
resnet50,slide_out,none,NCBI565,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI566,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI567,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI568,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI692,indiana_nontumour,1.0,38472,357
resnet50,slide_out,none,NCBI693,indiana_nontumour,1.0,38327,502
resnet50,slide_out,none,NCBI694,indiana_nontumour,1.0,38189,640
resnet50,slide_out,none,NCBI695,indiana_nontumour,1.0,38158,671
resnet50,slide_out,none,NCBI696,indiana_nontumour,1.0,38184,645
resnet50,slide_out,none,NCBI697,indiana_nontumour,1.0,38526,303
resnet50,slide_out,none,NCBI698,indiana_nontumour,1.0,38424,405
resnet50,slide_out,none,NCBI699,indiana_nontumour,1.0,38042,787
resnet50,slide_out,none,NCBI700,indiana_nontumour,1.0,38228,601
resnet50,slide_out,none,NCBI701,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI702,indiana_nontumour,1.0,38371,458
resnet50,slide_out,none,NCBI703,indiana_nontumour,1.0,38379,450
resnet50,slide_out,none,NCBI704,indiana_nontumour,1.0,38305,524
resnet50,slide_out,none,NCBI705,indiana_nontumour,1.0,38278,551
resnet50,slide_out,none,NCBI706,indiana_nontumour,1.0,38165,664
resnet50,slide_out,none,NCBI707,indiana_nontumour,1.0,38156,673
resnet50,slide_out,none,NCBI708,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI709,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI710,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI711,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI712,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI713,indiana_nontumour,1.0,38029,800
resnet50,slide_out,none,NCBI714,indiana_nontumour,1.0,38029,800
resnet50,slide_out,morphology_v2_ext,INT1,cordeliers_ccRCC,0.94375,38029,800
resnet50,slide_out,morphology_v2_ext,INT10,cordeliers_ccRCC,0.9375,38029,800
resnet50,slide_out,morphology_v2_ext,INT11,cordeliers_ccRCC,0.83,38029,800
resnet50,slide_out,morphology_v2_ext,INT12,cordeliers_ccRCC,0.81625,38029,800
resnet50,slide_out,morphology_v2_ext,INT13,cordeliers_ccRCC,0.9075,38029,800
resnet50,slide_out,morphology_v2_ext,INT14,cordeliers_ccRCC,0.9775,38029,800
resnet50,slide_out,morphology_v2_ext,INT15,cordeliers_ccRCC,0.165,38029,800
resnet50,slide_out,morphology_v2_ext,INT16,cordeliers_ccRCC,0.975,38029,800
resnet50,slide_out,morphology_v2_ext,INT17,cordeliers_ccRCC,0.71875,38029,800
resnet50,slide_out,morphology_v2_ext,INT18,cordeliers_ccRCC,0.18625,38029,800
resnet50,slide_out,morphology_v2_ext,INT19,cordeliers_ccRCC,0.9125,38029,800
resnet50,slide_out,morphology_v2_ext,INT2,cordeliers_ccRCC,0.91375,38029,800
resnet50,slide_out,morphology_v2_ext,INT20,cordeliers_ccRCC,0.98875,38029,800
resnet50,slide_out,morphology_v2_ext,INT21,cordeliers_ccRCC,0.1475,38029,800
resnet50,slide_out,morphology_v2_ext,INT22,cordeliers_ccRCC,0.99375,38029,800
resnet50,slide_out,morphology_v2_ext,INT23,cordeliers_ccRCC,0.94125,38029,800
resnet50,slide_out,morphology_v2_ext,INT24,cordeliers_ccRCC,0.96625,38029,800
resnet50,slide_out,morphology_v2_ext,INT3,cordeliers_ccRCC,0.93375,38029,800
resnet50,slide_out,morphology_v2_ext,INT4,cordeliers_ccRCC,0.85,38029,800
resnet50,slide_out,morphology_v2_ext,INT5,cordeliers_ccRCC,0.485,38029,800
resnet50,slide_out,morphology_v2_ext,INT6,cordeliers_ccRCC,0.99,38029,800
resnet50,slide_out,morphology_v2_ext,INT7,cordeliers_ccRCC,0.875,38029,800
resnet50,slide_out,morphology_v2_ext,INT8,cordeliers_ccRCC,0.745,38029,800
resnet50,slide_out,morphology_v2_ext,INT9,cordeliers_ccRCC,0.34125,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI562,indiana_nontumour,0.9975,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI563,indiana_nontumour,0.98875,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI564,indiana_nontumour,1.0,38631,198
resnet50,slide_out,morphology_v2_ext,NCBI565,indiana_nontumour,0.88125,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI566,indiana_nontumour,0.985,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI567,indiana_nontumour,0.965,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI568,indiana_nontumour,0.99625,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI692,indiana_nontumour,0.8795518207282913,38472,357
resnet50,slide_out,morphology_v2_ext,NCBI693,indiana_nontumour,0.848605577689243,38327,502
resnet50,slide_out,morphology_v2_ext,NCBI694,indiana_nontumour,0.8828125,38189,640
resnet50,slide_out,morphology_v2_ext,NCBI695,indiana_nontumour,0.7943368107302533,38158,671
resnet50,slide_out,morphology_v2_ext,NCBI696,indiana_nontumour,0.8837209302325582,38184,645
resnet50,slide_out,morphology_v2_ext,NCBI697,indiana_nontumour,0.943894389438944,38526,303
resnet50,slide_out,morphology_v2_ext,NCBI698,indiana_nontumour,0.7333333333333333,38424,405
resnet50,slide_out,morphology_v2_ext,NCBI699,indiana_nontumour,0.940279542566709,38042,787
resnet50,slide_out,morphology_v2_ext,NCBI700,indiana_nontumour,0.9850249584026622,38228,601
resnet50,slide_out,morphology_v2_ext,NCBI701,indiana_nontumour,0.92125,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI702,indiana_nontumour,0.925764192139738,38371,458
resnet50,slide_out,morphology_v2_ext,NCBI703,indiana_nontumour,0.8755555555555555,38379,450
resnet50,slide_out,morphology_v2_ext,NCBI704,indiana_nontumour,0.8854961832061069,38305,524
resnet50,slide_out,morphology_v2_ext,NCBI705,indiana_nontumour,0.6025408348457351,38278,551
resnet50,slide_out,morphology_v2_ext,NCBI706,indiana_nontumour,0.9653614457831324,38165,664
resnet50,slide_out,morphology_v2_ext,NCBI707,indiana_nontumour,0.7786032689450223,38156,673
resnet50,slide_out,morphology_v2_ext,NCBI708,indiana_nontumour,0.61125,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI709,indiana_nontumour,0.97625,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI710,indiana_nontumour,0.87625,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI711,indiana_nontumour,0.98625,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI712,indiana_nontumour,0.97,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI713,indiana_nontumour,0.9825,38029,800
resnet50,slide_out,morphology_v2_ext,NCBI714,indiana_nontumour,0.695,38029,800
uni_v2,slide_out,none,INT1,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT10,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT11,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT12,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT13,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT14,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT15,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT16,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT17,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT18,cordeliers_ccRCC,1.0,38029,800
uni_v2,slide_out,none,INT19,cordeliers_ccRCC,1.0,38029,800
