quantity,scope,value,n,note
breast_donor_group_stratum_matches_sample_stratum,"coverage, 3 encoders x 2 levels",True,,"no donor group spans both instrument generations, so the two readings partition the same cells; the difference between them is the unit count (2 against 13 groups rather than 3 against 15 samples), not the partition"
task_defs_written,D4,4,,
task_defs_passing_relaxed_v1,D4,4,4.0,
task_defs_passing_extension_schema,D4,4,4.0,
barcode_integrity_samples_checked,72 expansion + 32 benchmark,104,,
barcode_integrity_samples_ok,obs/var unique and one row per patch barcode,104,104.0,
unpatched_fraction_median__kidney,54 samples,0.00535305770674635,54.0,
unpatched_fraction_max__kidney,54 samples,0.2442748091603053,54.0,
unpatched_fraction_median__breast,18 samples,0.19699367315960953,18.0,
unpatched_fraction_max__breast,18 samples,0.3590544533558464,18.0,
unpatched_fraction_median__indiana,26 samples,0.00507206521850875,26.0,
unpatched_fraction_median__ccrcc_anchor,24 samples,0.0029815942922157,24.0,
morphology_half_width_source_counts,54 kidney samples,"{""112_over_pixel_size_um_estimated"": 54}",,
morphology_mean_nuclei_per_spot_median,54 kidney samples,165.22547871503255,54.0,
morphology_samples_without_dead_class,54 kidney samples,13,54.0,
