,dataset,conch_v1_mean,conch_v1_std
0,IDC,0.516425,0.059500057773081226
1,PRAD,0.37965,0.012649999999999995
2,PAAD,0.4375,0.06833861768185442
3,SKCM,0.57545,0.05074999999999996
4,COAD,0.31825000000000003,0.003150000000000014
5,READ,0.1421,0.0697
6,CCRCC,0.17113333333333336,0.054300296704734706
7,LUNG,0.5584499999999999,0.007550000000000001
8,LYMPH_IDC,0.256175,0.06160784751149808
9,HCC,0.0407,0.011000000000000001
