,dataset,ctranspath_mean,ctranspath_std
0,IDC,0.496275,0.04551391957412589
1,PRAD,0.3054,0.06340000000000001
2,PAAD,0.3868666666666667,0.06143724892567663
3,SKCM,0.34740000000000004,0.10750000000000001
4,COAD,0.20195,0.05324999999999999
5,READ,0.0858,0.0709
6,CCRCC,0.22186666666666663,0.039682265840324964
7,LUNG,0.4257,0.055400000000000005
8,LYMPH_IDC,0.2144,0.03635876785591064
9,HCC,0.0162,0.0011999999999999997
