task,encoder,fold,n_train,n_test,alpha_50,alpha_40,r_all50,r_sub40_formula,r_sub40_fixed,max_abs_pred_diff_fixed,max_abs_pred_diff_formula
IDC,hoptimus0,0,14775,20761,0.0078125,0.009765625,0.4907103478908539,0.4907103478908539,0.4907103478908539,3.814697265625e-06,3.933906555175781e-06
IDC,hoptimus0,1,27776,7760,0.0078125,0.009765625,0.6426123380661011,0.6426123380661011,0.6426123380661011,4.291534423828125e-06,4.5299530029296875e-06
IDC,hoptimus0,2,31526,4010,0.0078125,0.009765625,0.5573457479476929,0.5573456883430481,0.5573456883430481,4.291534423828125e-06,4.76837158203125e-06
IDC,hoptimus0,3,32531,3005,0.0078125,0.009765625,0.6980453729629517,0.6980453729629517,0.6980453729629517,5.7220458984375e-06,6.198883056640625e-06
