,dataset,conch_v15_mean,conch_v15_std
0,IDC,0.544,0.08545879123881872
1,PRAD,0.3808,0.010399999999999993
2,PAAD,0.4568666666666667,0.06052219060440194
3,SKCM,0.55175,0.03265000000000001
4,COAD,0.28015,0.012450000000000017
5,READ,0.1601,0.0648
6,CCRCC,0.21751666666666666,0.03863527820816387
7,LUNG,0.55135,0.005149999999999988
8,LYMPH_IDC,0.2699,0.05401124882836908
9,HCC,0.06860000000000001,0.016900000000000002
