,dataset,resnet50_mean,resnet50_std
0,IDC,0.44567500000000004,0.037758335172515214
1,PRAD,0.27590000000000003,0.061700000000000005
2,PAAD,0.3429666666666667,0.06578289206844656
3,SKCM,0.41385,0.08155000000000001
4,COAD,0.2004,0.060700000000000004
5,READ,0.06705,0.06435
6,CCRCC,0.21025000000000002,0.0549339527675432
7,LUNG,0.3998,0.06309999999999999
8,LYMPH_IDC,0.20325000000000004,0.053647763233894474
9,HCC,0.03855,0.019450000000000002
