,dataset,phikon_mean,phikon_std
0,IDC,0.525875,0.07904866776233486
1,PRAD,0.2489,0.1265
2,PAAD,0.3594333333333333,0.07066976408306141
3,SKCM,0.36839999999999995,0.1056
4,COAD,0.16985,0.056049999999999996
5,READ,0.11334999999999999,0.07495
6,CCRCC,0.2531333333333334,0.048566163346739896
7,LUNG,0.42255,0.057849999999999985
8,LYMPH_IDC,0.21512499999999998,0.04182591152622976
9,HCC,0.0385,0.014900000000000002
