,dataset,phikon_mean,phikon_std
0,IDC,0.4707,0.06788681757160221
1,PRAD,0.39445,0.010550000000000004
2,PAAD,0.40070000000000006,0.062044553884016806
3,SKCM,0.5297499999999999,0.06405
4,COAD,0.27854999999999996,0.010849999999999999
5,READ,0.1485,0.0802
6,CCRCC,0.2129333333333333,0.03922026120373103
7,LUNG,0.5398499999999999,0.013350000000000029
8,LYMPH_IDC,0.24405,0.06175242910201994
9,HCC,0.046,0.0143
