,dataset,virchow2_mean,virchow2_std
0,IDC,0.5971,0.0838147063467981
1,PRAD,0.3529,0.0348
2,PAAD,0.4778,0.07028532326643071
3,SKCM,0.63985,0.03855000000000003
4,COAD,0.25805,0.03534999999999999
5,READ,0.20735,0.05365
6,CCRCC,0.2719,0.05100199342509401
7,LUNG,0.5684,0.016100000000000003
8,LYMPH_IDC,0.25682499999999997,0.033430104322302076
9,HCC,0.09415000000000001,0.012549999999999999
