,dataset,hoptimus0_mean,hoptimus0_std
0,CCRCC,0.23431666666666665,0.03734204139512938
1,LUNG,0.31415,0.08264999999999999
2,LYMPH_IDC,0.19765000000000002,0.02577687917495056
3,HCC,0.019200000000000002,0.0018000000000000013
