,dataset,virchow_mean,virchow_std
0,IDC,0.5846500000000001,0.09435932651306919
1,PRAD,0.3378,0.009800000000000003
2,PAAD,0.5158666666666667,0.066467652951559
3,SKCM,0.62425,0.05895
4,COAD,0.30794999999999995,0.0002500000000000002
5,READ,0.1981,0.048600000000000004
6,CCRCC,0.25861666666666666,0.029886419249477762
7,LUNG,0.5663,0.02639999999999998
8,LYMPH_IDC,0.261,0.03826323300506635
9,HCC,0.08315,0.017750000000000002
