task,label_set,encoder,n_covered,n_points,n_folds,n_repeats,n_genes,n_slides,any_infinite_quantile,coverage_pooled,deviation_from_nominal,tol,passed
CCRCC,shipped,uni_v2,16696830,18555000,6,5,50,24,False,0.899856103476152,0.00014389652384805274,0.02,True
COAD,shipped,uni_v2,3522989,3912750,2,5,50,4,False,0.900386940131621,0.00038694013162099417,0.02,True
HCC,shipped,uni_v2,945936,1049000,2,5,50,2,False,0.9017502383222117,0.0017502383222116613,0.02,True
IDC,shipped,uni_v2,7996089,8884000,4,5,50,4,False,0.9000550427735254,5.5042773525415534e-05,0.02,True
LUNG,shipped,uni_v2,1170860,1301500,2,5,50,2,False,0.8996235113330772,0.00037648866692285843,0.02,True
LYMPH_IDC,shipped,uni_v2,4493425,4991000,4,5,50,4,False,0.9003055499899819,0.0003055499899818903,0.02,True
PAAD,shipped,uni_v2,1703250,1892750,3,5,50,3,False,0.8998811253467177,0.00011887465328230817,0.02,True
PRAD,shipped,uni_v2,14102057,15677500,2,5,50,23,False,0.8995092967628767,0.0004907032371233022,0.02,True
READ,shipped,uni_v2,1892997,2101750,2,5,50,4,False,0.9006765790412752,0.0006765790412751604,0.02,True
SKCM,shipped,uni_v2,681618,758500,2,5,50,2,False,0.8986394199077126,0.0013605800922874556,0.02,True
