task,label_set,encoder,n_covered,n_points,n_folds,n_repeats,n_genes,n_slides,any_infinite_quantile,coverage_pooled,deviation_from_nominal,tol,passed
CCRCC,shipped,hoptimus0,16694876,18555000,6,5,50,24,False,0.89975079493398,0.00024920506601999737,0.02,True
COAD,shipped,hoptimus0,3520893,3912750,2,5,50,4,False,0.89985125551083,0.00014874448917001626,0.02,True
HCC,shipped,hoptimus0,945204,1049000,2,5,50,2,False,0.9010524308865586,0.0010524308865585974,0.02,True
IDC,shipped,hoptimus0,7998277,8884000,4,5,50,4,False,0.9003013282305268,0.00030132823052675395,0.02,True
LUNG,shipped,hoptimus0,1172391,1301500,2,5,50,2,False,0.9007998463311564,0.000799846331156373,0.02,True
LYMPH_IDC,shipped,hoptimus0,4492766,4991000,4,5,50,4,False,0.9001735123221799,0.00017351232217988066,0.02,True
PAAD,shipped,hoptimus0,1703567,1892750,3,5,50,3,False,0.9000486065248976,4.860652489757644e-05,0.02,True
PRAD,shipped,hoptimus0,14107053,15677500,2,5,50,23,False,0.8998279700207303,0.00017202997926968333,0.02,True
READ,shipped,hoptimus0,1892218,2101750,2,5,50,4,False,0.9003059355299156,0.0003059355299155353,0.02,True
SKCM,shipped,hoptimus0,682433,758500,2,5,50,2,False,0.8997139090309823,0.00028609096901777153,0.02,True
