encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
resnet50,CCRCC,shipped,random,0,0,0,44679,11170,18371,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,0,1,0,44679,11170,18371,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,0,2,0,44679,11170,18371,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,0,3,0,44679,11170,18371,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,0,4,0,44679,11170,18371,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,1,0,0,44679,13531,6569,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,1,1,0,44679,13531,6569,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,1,2,0,44679,13531,6569,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,1,3,0,44679,13531,6569,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,1,4,0,44679,13531,6569,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,2,0,0,44679,12693,10756,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,2,1,0,44679,12693,10756,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,2,2,0,44679,12693,10756,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,2,3,0,44679,12693,10756,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,2,4,0,44679,12693,10756,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,3,0,0,44679,13420,7122,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,3,1,0,44679,13420,7122,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,3,2,0,44679,13420,7122,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,3,3,0,44679,13420,7122,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,3,4,0,44679,13420,7122,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,4,0,0,44679,11895,14748,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,4,1,0,44679,11895,14748,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,4,2,0,44679,11895,14748,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,4,3,0,44679,11895,14748,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,4,4,0,44679,11895,14748,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,5,0,0,44679,11514,16654,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,5,1,0,44679,11514,16654,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,5,2,0,44679,11514,16654,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,5,3,0,44679,11514,16654,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,CCRCC,shipped,random,5,4,0,44679,11514,16654,0,0,0,True,True,44679,44679,0.0,0.0,0.0
resnet50,COAD,shipped,random,0,0,0,4063,1016,10572,0,0,0,True,True,4063,4063,0.0,0.0,0.0
resnet50,COAD,shipped,random,0,1,0,4063,1016,10572,0,0,0,True,True,4063,4063,0.0,0.0,0.0
resnet50,COAD,shipped,random,0,2,0,4063,1016,10572,0,0,0,True,True,4063,4063,0.0,0.0,0.0
resnet50,COAD,shipped,random,0,3,0,4063,1016,10572,0,0,0,True,True,4063,4063,0.0,0.0,0.0
resnet50,COAD,shipped,random,0,4,0,4063,1016,10572,0,0,0,True,True,4063,4063,0.0,0.0,0.0
