,dataset,uni_v2_mean,uni_v2_std
0,IDC,0.5739249999999999,0.07367646757954674
1,PRAD,0.33755,0.05274999999999999
2,PAAD,0.3484333333333334,0.013133756338365478
3,SKCM,0.19735,0.03985
4,COAD,0.18255,0.057050000000000003
5,READ,0.1187,0.043199999999999995
6,CCRCC,0.23329999999999998,0.05192244216136216
7,LUNG,0.28965,0.12615
8,LYMPH_IDC,0.20735,0.019787432880492607
9,HCC,0.014350000000000002,0.0020500000000000006
