encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene,gene_index,alpha_g,alpha_g_oos,n_T,n_C,deviance_ratio,score_residual,guard_pass,mean_count_T,var_count_T,mean_count_E,var_count_E,_source
hoptimus0,COAD,shipped,random,0,0,0,spot,AQP8,0,0.0861992260309399,1.0790928990862885,3389,1016,0.2455914741858588,7.237029280527864e-12,True,1.9164945411625849,74.94078156881612,1.8111048051456675,54.27563866198807,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CA4,4,0.0267373162385208,0.3363435927096686,3389,1016,0.0521697638781792,7.515898142513142e-14,True,8.312481557981705,1954.309941567325,8.036416950435111,1929.0711360773896,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CEACAM6,9,0.0832388400592276,0.1404588095681116,3389,1016,0.0594303932783372,1.182899346741712e-11,True,187.97049277072884,127014.45367452098,198.48287930382145,137274.3751680214,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CEACAM7,10,0.0816194149580402,0.4468612906441904,3389,1016,0.0957104984540837,8.119456528546252e-12,True,10.32871053408085,1442.5737356744494,10.287362845251607,1400.4764915028024,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CHI3L2,13,0.28601141445194,1.75962169866096,3389,1016,0.2989655138105558,2.8755627244628234e-08,True,3.153732664502803,95.03922824137962,3.096859629209232,68.86508520856019,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CXCL10,18,1.0050474652815724,0.964194212078062,3389,1016,0.3945806617205946,1.1934043156617783e-10,True,21.226320448509885,4186.659802897282,23.906734771093458,6191.248135510766,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,DMBT1,20,0.1399244355615364,0.352065344909188,3389,1016,0.1337476142341919,6.354476476361118e-10,True,70.05311301268812,51375.921027053635,67.06157775255392,47458.51716137386,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,FCRL1,22,0.0676876475878134,0.5408708905933467,3389,1016,0.2235200810546779,1.2822346218499007e-10,True,2.6326349955739157,97.06600666159667,2.64216799091941,92.24248618954198,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,HEPACAM2,27,0.0759043220662383,0.1721080087371427,3389,1016,0.0890643932573465,4.573504260781191e-14,True,8.14458542342874,573.6980971495041,8.064226258040106,582.6596717785253,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,INSL5,29,0.69241841716563,2.445331952936963,3389,1016,0.3598426232145773,1.2943222943918106e-12,True,1.995868987902036,70.74260394505036,1.8459137343927352,47.43581434805843,a4_nb_dispersion__hoptimus0__main9.csv
