task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,_source
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,2,predicted_value_decile,5,6402,6028,0.9415807560137456,1.6213744240081225,0.5457988287351608,6402,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,2,predicted_value_decile,6,6474,5829,0.9003707136237257,1.6217668148555762,0.643088655704549,6474,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,2,predicted_value_decile,7,6268,5601,0.8935864709636248,1.6161909949345885,0.7660874182354818,6268,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,2,predicted_value_decile,8,6269,4811,0.7674270218535651,1.6189680247048972,1.0100852782541074,6269,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,2,predicted_value_decile,9,6561,5151,0.7850937357110197,1.6188399610387136,1.5890239197530864,6561,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,0,4161,3911,0.9399182888728672,1.6244562135754623,0.0195352874733856,4161,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,1,4298,4093,0.952303396928804,1.6184987476006285,0.1874579087475279,4298,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,2,4252,4031,0.9480244590780808,1.6217949365739652,0.2899172218588311,4252,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,3,4158,3908,0.93987493987494,1.6250070459054835,0.377787007913961,4158,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,4,4283,3989,0.9313565257996732,1.6259916110932755,0.4628188591707039,4283,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,5,4217,3991,0.9464073986246146,1.621108802540313,0.5424285374859201,4217,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,6,4421,3971,0.8982130739651663,1.617298608558584,0.6351762627940511,4421,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,3,predicted_value_decile,7,4269,3785,0.8866245022253455,1.6212793860901265,0.770836650305985,4269,0,a4_by_decile__hoptimus0__cqrmain.csv
