task,label_set,encoder,design,gene,n,ks_pooled_from_hist,ks_hist_resolution,ks_cell_median,ks_cell_max,log_score_mean,alpha_g_mean,n_cells,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,_source
COAD,shipped,hoptimus0,donor,AQP8,46953,0.0680213617873193,0.001,0.1440701457158876,0.3066903681055265,2.340971974657218,0.0584846410381083,12,0.0903882606010265,0.0632121483185313,0.0551402466296083,0.0518177752220305,0.0476220901752816,0.0456200881732796,0.0427448725321065,0.0410836368283176,0.0414882968074457,0.0390816348263156,0.039102932719954,0.0387621664217408,0.0384214001235277,0.0367388665261005,0.0394649969118054,0.0378676548889314,0.0414244031265307,0.0427448725321065,0.0515622004983707,0.115711456136988,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,CA4,46953,0.1027178029092922,0.001,0.2310875317552477,0.3630320707329916,11.927826923949215,0.0102327385603326,12,0.1340702404532191,0.0635742125103827,0.0547568845441185,0.0481758354098779,0.0441718314058739,0.0418077652120205,0.0399335505718484,0.0372287180797819,0.0366110791642706,0.03497114135412,0.0337571614167358,0.0310736268183076,0.0304772857964347,0.0311588183928609,0.0328200540966498,0.0329265435648414,0.0357165676314612,0.0387834643153792,0.0460886418333226,0.1518965774284923,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,CEACAM6,46953,0.4249044363512448,0.001,0.663607798900443,0.9568766020821506,27.301309392869,0.069933896994793,12,0.4746661555172193,0.0356952697378229,0.0241731092794922,0.0183800822098694,0.0148446318659084,0.0133537793112261,0.0113304794155858,0.0100952015845632,0.010478563670053,0.008881221647179,0.0094562647754137,0.009413668988137,0.0090942005835622,0.0081996890507528,0.00988222264818,0.0095840521372436,0.0115860541392456,0.0122036930547568,0.0158456328669094,0.2828360275168786,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,CEACAM7,46953,0.246290183800822,0.001,0.3993042742668554,0.6580070177442457,11.020423837112988,0.0416759377495834,12,0.2722722722722723,0.0711562626456243,0.0497092837518369,0.0419142546802121,0.0338423529912891,0.0298596468809234,0.0271761122824952,0.0253657913232381,0.0230017251293847,0.0225970651502566,0.0205311694673396,0.0205311694673396,0.019487572679062,0.0186782527208059,0.0185717632526143,0.0204459778927864,0.0210849147019359,0.0228739377675547,0.0295827742636253,0.2113177006794028,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,CHI3L2,46953,0.1930586331011863,0.001,0.2145361214752003,0.5898242674475169,3.501379351652248,0.1611445734442663,12,0.1859519093561646,0.086682427107959,0.0650224692777884,0.055055055055055,0.048048048048048,0.0406363810619129,0.0386556769535492,0.035035035035035,0.035972142355121,0.0326070751602666,0.0296253700509019,0.0306476689455412,0.0279002406661981,0.0281132196025813,0.0286882627308159,0.029497582689072,0.0295401784763486,0.0320746278193086,0.0352693118650565,0.1049773177432751,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,CXCL10,46953,0.3326855578983237,0.001,0.2866140144414538,0.8168218109152441,15.879344236323396,0.6653526864896008,12,0.0759482887142461,0.0535642025003727,0.0437245756394692,0.0393798053372521,0.0340766298213106,0.0307541584137328,0.028496581688071,0.0266862607288139,0.0251102165995783,0.024428684003152,0.0229165335548314,0.0213830852128724,0.0212978936383191,0.021958128341107,0.0231934061721295,0.023960130343109,0.0281345174962196,0.0307328605200945,0.0423615104466168,0.381892530828701,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,DMBT1,46953,0.304342065469725,0.001,0.4272825050648082,0.5895833936262808,18.72341733862295,0.1873512282874217,12,0.3530551828424169,0.0464720039188124,0.0322876067556918,0.0263454944306008,0.0237258535130875,0.0208506378719144,0.0175281664643366,0.0182522948480395,0.0162715907396758,0.0153770792068664,0.0153557813132281,0.016953123336102,0.0147381423977168,0.0171448043788469,0.0159734202287393,0.0177837411879965,0.0197218495090835,0.0228952356611931,0.0312227120737759,0.258045279321875,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,FCRL1,46953,0.1217683002151087,0.001,0.173560556132175,0.3573800142000075,3.171491693008591,0.0813454792261602,12,0.1327071752603667,0.0738610951376908,0.0614657210401891,0.0530104572657764,0.0493046237727088,0.0453432155559815,0.0409558494664877,0.0385491874853577,0.036504589696079,0.0339914382467574,0.0345451834813536,0.0333099056503311,0.0337784593103742,0.0321811172875002,0.0323302025429685,0.0328200540966498,0.0335228845867143,0.0375481864843567,0.0442357250867889,0.1200349285455668,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,HEPACAM2,46953,0.1331427597810576,0.001,0.2253036979689852,0.6170567917847414,4.773194685357712,0.0491520075372075,12,0.1721934700658104,0.0603369326773582,0.0474730049198134,0.0440014482567674,0.0398270611036568,0.0372926117606968,0.0352480139714182,0.0335228845867143,0.0314569889037974,0.0307328605200945,0.0290929227099439,0.0299235405618384,0.0302217110727749,0.0299022426682001,0.0295827742636253,0.0313717973292441,0.0331821182885012,0.0374629949098034,0.0463229186633442,0.1708517027665964,a4_pit__hoptimus0__main9.csv
COAD,shipped,hoptimus0,donor,INSL5,46953,0.1052445211168615,0.001,0.1904940827294955,0.3753216166674438,2.450697026549888,0.6385687623931602,12,0.0787596106745043,0.06006006006006,0.0538623730113091,0.0493046237727088,0.0447894703213852,0.0437884693203842,0.0417438715311055,0.0387408685281025,0.0390177411454007,0.0354183971205247,0.0369305475688454,0.0373778033352501,0.0353332055459715,0.0366749728451856,0.0365471854833557,0.038506591698081,0.0413605094456158,0.0468766638979404,0.0599109748045918,0.1449960598896769,a4_pit__hoptimus0__main9.csv
