task,label_set,encoder,design,score,subset,gene_subset,method,source,n_folds,n_genes,is_conformal,alpha_nominal,coverage_nominal,coverage_sd_nominal,width_mean_nominal,width_median_nominal,frac_infinite_nominal,target_coverage,n_grid_levels,matched_in_range,matched_uses_test_labels,width_mean_at_target,width_median_at_target,alpha_at_target,subset_difference_list,oracle_width_ratio_to_abs,abs_half_width_mean,b_s_over_sy_mean,width_is_half_width
CCRCC,shipped,hoptimus0,donor,abs,cqr_matched,all,abs,A4a,24,6,True,0.1,0.8530087223681247,0.15741590769922167,2.0710750543332677,1.910857469626543,0.0,0.9,7,True,True,2.478496973218563,2.283432713270992,0.058730610105901325,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function.",,,,False
CCRCC,shipped,hoptimus0,donor,abs,full,all,abs,A4a,24,50,True,0.1,0.8610559868289842,0.14501856266945798,2.097787657043836,1.9961892620937698,0.0,0.9,7,True,True,2.4600682357696853,2.3372830187717204,0.06375652937522056,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection.",,,,False
CCRCC,shipped,hoptimus0,donor,abs,nb_matched,all,abs,A4a,24,16,True,0.1,0.8606945724320874,0.15232714563327474,2.2008292349354845,2.041154280749479,0.0,0.9,7,True,True,2.585689958560333,2.3882910227095673,0.06314448090252202,"the NB gene subset, which is the union of the NB and CQR evenly spaced subsets, on every cell where the NB head fitted. Carries abs, scaled, scaled_clip, nb and nb_conformal on identical cells and genes; cqr is absent because fitting it on this many genes is not affordable.",,,,False
CCRCC,shipped,hoptimus0,donor,cqr,cqr_matched,every_kth_6,cqr,A4a,24,6,True,0.1,0.8841284036424083,0.15036945119709075,2.047080527567523,1.8809030646234806,0.0,0.9,7,True,True,2.2387055367942095,2.059144812187611,0.0784685894795344,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function.",,,,False
CCRCC,shipped,hoptimus0,donor,cqr,full,every_kth_6,cqr,A4a,24,6,True,0.1,0.8841284036424083,0.15036945119709075,2.047080527567523,1.8809030646234806,0.0,0.9,7,True,True,2.2387055367942095,2.059144812187611,0.0784685894795344,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection.",,,,False
CCRCC,shipped,hoptimus0,donor,nb,cqr_matched,every_kth_16,nb,A4a,24,6,False,0.1,0.803056674126066,0.16036343465008954,1.3756307173372762,1.3577023942075588,0.0,0.9,7,False,True,,,,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function.",,,,False
CCRCC,shipped,hoptimus0,donor,nb,full,every_kth_16,nb,A4a,24,16,False,0.1,0.7904222967907883,0.14736914936751933,1.4095396833948142,1.3830519597783524,0.0,0.9,7,False,True,,,,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection.",,,,False
CCRCC,shipped,hoptimus0,donor,nb,nb_matched,every_kth_16,nb,A4a,24,16,False,0.1,0.7904222967907883,0.14736914936751933,1.4095396833948142,1.3830519597783524,0.0,0.9,7,False,True,,,,"the NB gene subset, which is the union of the NB and CQR evenly spaced subsets, on every cell where the NB head fitted. Carries abs, scaled, scaled_clip, nb and nb_conformal on identical cells and genes; cqr is absent because fitting it on this many genes is not affordable.",,,,False
CCRCC,shipped,hoptimus0,donor,nb_conformal,cqr_matched,every_kth_16,nb_conformal,A4a,24,6,True,0.1,0.8727228781887278,0.15608481537839874,1.633414586779513,1.5517393153369656,0.0,0.9,7,True,True,1.7710492109890217,1.674848742934128,0.06981523168025063,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function.",,,,False
CCRCC,shipped,hoptimus0,donor,nb_conformal,full,every_kth_16,nb_conformal,A4a,24,16,True,0.1,0.8707112022520497,0.14188158120711813,1.7072602660283314,1.62391379137623,0.0008680555555555555,0.9,7,True,True,1.8595864392633148,1.7726564210685773,0.06999077497093585,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection.",,,,False
