encoder,task,counts_path,present,n_spots,n_genes,n_joined_spot_gene,frac_joined,max_abs_log1p_minus_Y,rows_in_file,_source
hoptimus0,COAD,instrumentation/COAD/spots.parquet,True,15651,50,782550,1.0,2.383089050539411e-07,782550,a4_counts_join__hoptimus0__main9.csv
hoptimus0,HCC,instrumentation/HCC/spots.parquet,True,4196,50,209800,1.0,2.446813951451077e-07,209800,a4_counts_join__hoptimus0__main9.csv
hoptimus0,IDC,instrumentation/IDC/spots.parquet,True,35536,50,1776800,1.0,2.3839938734226962e-07,1776800,a4_counts_join__hoptimus0__main9.csv
hoptimus0,LUNG,instrumentation/LUNG/spots.parquet,True,5206,50,260300,1.0,2.3820699279752946e-07,260300,a4_counts_join__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,instrumentation/LYMPH_IDC/spots.parquet,True,19964,50,998200,1.0,2.428160987832939e-07,998200,a4_counts_join__hoptimus0__main9.csv
hoptimus0,PAAD,instrumentation/PAAD/spots.parquet,True,7571,50,378550,1.0,2.407969841300428e-07,378550,a4_counts_join__hoptimus0__main9.csv
hoptimus0,PRAD,instrumentation/PRAD/spots.parquet,True,62710,50,3135500,1.0,5.132378948502492e-07,3135500,a4_counts_join__hoptimus0__main9.csv
hoptimus0,READ,instrumentation/READ/spots.parquet,True,8407,50,420350,1.0,2.3820699279752946e-07,420350,a4_counts_join__hoptimus0__main9.csv
hoptimus0,SKCM,instrumentation/SKCM/spots.parquet,True,3034,50,151700,1.0,4.767159129670518e-07,151700,a4_counts_join__hoptimus0__main9.csv
hoptimus0,CCRCC,instrumentation/CCRCC/spots.parquet,True,74220,50,3711000,1.0,2.467587236765212e-07,3711000,a4_counts_join__hoptimus0__mainCCRCC.csv
hoptimus0,PRAD,instrumentation/PRAD/spots.parquet,True,62710,50,3135500,1.0,5.132378948502492e-07,3135500,a4_counts_join__hoptimus0__slideout.csv
hoptimus0,READ,instrumentation/READ/spots.parquet,True,8407,50,420350,1.0,2.3820699279752946e-07,420350,a4_counts_join__hoptimus0__slideout.csv
resnet50,COAD,instrumentation/COAD/spots.parquet,True,15651,50,782550,1.0,2.383089050539411e-07,782550,a4_counts_join__resnet50__main9.csv
resnet50,HCC,instrumentation/HCC/spots.parquet,True,4196,50,209800,1.0,2.3215576305801733e-07,209800,a4_counts_join__resnet50__main9.csv
resnet50,IDC,instrumentation/IDC/spots.parquet,True,35536,50,1776800,1.0,2.3839938734226962e-07,1776800,a4_counts_join__resnet50__main9.csv
resnet50,LUNG,instrumentation/LUNG/spots.parquet,True,5206,50,260300,1.0,2.3820699279752946e-07,260300,a4_counts_join__resnet50__main9.csv
resnet50,LYMPH_IDC,instrumentation/LYMPH_IDC/spots.parquet,True,19964,50,998200,1.0,2.467587236765212e-07,998200,a4_counts_join__resnet50__main9.csv
resnet50,PAAD,instrumentation/PAAD/spots.parquet,True,7571,50,378550,1.0,2.407969841300428e-07,378550,a4_counts_join__resnet50__main9.csv
resnet50,PRAD,instrumentation/PRAD/spots.parquet,True,62710,50,3135500,1.0,4.404364215560008e-07,3135500,a4_counts_join__resnet50__main9.csv
resnet50,READ,instrumentation/READ/spots.parquet,True,8407,50,420350,1.0,2.467587236765212e-07,420350,a4_counts_join__resnet50__main9.csv
resnet50,SKCM,instrumentation/SKCM/spots.parquet,True,3034,50,151700,1.0,4.767159129670518e-07,151700,a4_counts_join__resnet50__main9.csv
resnet50,CCRCC,instrumentation/CCRCC/spots.parquet,True,74220,50,3711000,1.0,2.49912521788076e-07,3711000,a4_counts_join__resnet50__mainCCRCC.csv
resnet50,PRAD,instrumentation/PRAD/spots.parquet,True,62710,50,3135500,1.0,4.404364215560008e-07,3135500,a4_counts_join__resnet50__slideout.csv
resnet50,READ,instrumentation/READ/spots.parquet,True,8407,50,420350,1.0,2.467587236765212e-07,420350,a4_counts_join__resnet50__slideout.csv
uni_v2,COAD,instrumentation/COAD/spots.parquet,True,15651,50,782550,1.0,2.383089050539411e-07,782550,a4_counts_join__uni_v2__main9.csv
uni_v2,HCC,instrumentation/HCC/spots.parquet,True,4196,50,209800,1.0,2.446813951451077e-07,209800,a4_counts_join__uni_v2__main9.csv
uni_v2,IDC,instrumentation/IDC/spots.parquet,True,35536,50,1776800,1.0,2.3839938734226962e-07,1776800,a4_counts_join__uni_v2__main9.csv
uni_v2,LUNG,instrumentation/LUNG/spots.parquet,True,5206,50,260300,1.0,2.3820699279752946e-07,260300,a4_counts_join__uni_v2__main9.csv
uni_v2,LYMPH_IDC,instrumentation/LYMPH_IDC/spots.parquet,True,19964,50,998200,1.0,2.428160987832939e-07,998200,a4_counts_join__uni_v2__main9.csv
uni_v2,PAAD,instrumentation/PAAD/spots.parquet,True,7571,50,378550,1.0,2.407969841300428e-07,378550,a4_counts_join__uni_v2__main9.csv
uni_v2,PRAD,instrumentation/PRAD/spots.parquet,True,62710,50,3135500,1.0,5.132378948502492e-07,3135500,a4_counts_join__uni_v2__main9.csv
uni_v2,READ,instrumentation/READ/spots.parquet,True,8407,50,420350,1.0,2.3820699279752946e-07,420350,a4_counts_join__uni_v2__main9.csv
uni_v2,SKCM,instrumentation/SKCM/spots.parquet,True,3034,50,151700,1.0,4.767159129670518e-07,151700,a4_counts_join__uni_v2__main9.csv
uni_v2,CCRCC,instrumentation/CCRCC/spots.parquet,True,74220,50,3711000,1.0,2.467587236765212e-07,3711000,a4_counts_join__uni_v2__mainCCRCC.csv
uni_v2,PRAD,instrumentation/PRAD/spots.parquet,True,62710,50,3135500,1.0,5.132378948502492e-07,3135500,a4_counts_join__uni_v2__slideout.csv
uni_v2,READ,instrumentation/READ/spots.parquet,True,8407,50,420350,1.0,2.3820699279752946e-07,420350,a4_counts_join__uni_v2__slideout.csv
