encoder,donor_set,arm,fold,draw,max_abs_q_conformal_minus_weighted,pooled_infinite,weighted_infinite_points
resnet50,23_merged,K10,INT10,0,0.0,False,0
resnet50,23_merged,K10,INT10,1,0.0,False,0
resnet50,23_merged,K10,INT10,2,0.0,False,0
resnet50,23_merged,K10,INT11,0,0.0,False,0
resnet50,23_merged,K10,INT11,1,0.0,False,0
resnet50,23_merged,K10,INT11,2,0.0,False,0
resnet50,23_merged,K10,INT12,0,0.0,False,0
resnet50,23_merged,K10,INT12,1,0.0,False,0
resnet50,23_merged,K10,INT12,2,0.0,False,0
resnet50,23_merged,K10,INT13,0,0.0,False,0
resnet50,23_merged,K10,INT13,1,0.0,False,0
resnet50,23_merged,K10,INT13,2,0.0,False,0
resnet50,23_merged,K10,INT14,0,0.0,False,0
resnet50,23_merged,K10,INT14,1,0.0,False,0
resnet50,23_merged,K10,INT14,2,0.0,False,0
resnet50,23_merged,K10,INT15,0,0.0,False,0
resnet50,23_merged,K10,INT15,1,0.0,False,0
resnet50,23_merged,K10,INT15,2,0.0,False,0
resnet50,23_merged,K10,INT16,0,0.0,False,0
resnet50,23_merged,K10,INT16,1,0.0,False,0
resnet50,23_merged,K10,INT16,2,0.0,False,0
resnet50,23_merged,K10,INT17,0,0.0,False,0
resnet50,23_merged,K10,INT17,1,0.0,False,0
resnet50,23_merged,K10,INT17,2,0.0,False,0
resnet50,23_merged,K10,INT18,0,0.0,False,0
resnet50,23_merged,K10,INT18,1,0.0,False,0
resnet50,23_merged,K10,INT18,2,0.0,False,0
resnet50,23_merged,K10,INT19,0,0.0,False,0
resnet50,23_merged,K10,INT19,1,0.0,False,0
resnet50,23_merged,K10,INT19,2,0.0,False,0
resnet50,23_merged,K10,INT2,0,0.0,False,0
resnet50,23_merged,K10,INT2,1,0.0,False,0
resnet50,23_merged,K10,INT2,2,0.0,False,0
resnet50,23_merged,K10,INT20,0,0.0,False,0
resnet50,23_merged,K10,INT20,1,0.0,False,0
resnet50,23_merged,K10,INT20,2,0.0,False,0
resnet50,23_merged,K10,INT21,0,0.0,False,0
resnet50,23_merged,K10,INT21,1,0.0,False,0
resnet50,23_merged,K10,INT21,2,0.0,False,0
resnet50,23_merged,K10,INT22,0,0.0,False,0
resnet50,23_merged,K10,INT22,1,0.0,False,0
resnet50,23_merged,K10,INT22,2,0.0,False,0
resnet50,23_merged,K10,INT23,0,0.0,False,0
resnet50,23_merged,K10,INT23,1,0.0,False,0
resnet50,23_merged,K10,INT23,2,0.0,False,0
resnet50,23_merged,K10,INT3,0,0.0,False,0
resnet50,23_merged,K10,INT3,1,0.0,False,0
resnet50,23_merged,K10,INT3,2,0.0,False,0
resnet50,23_merged,K10,INT4+INT24,0,0.0,False,0
resnet50,23_merged,K10,INT4+INT24,1,0.0,False,0
resnet50,23_merged,K10,INT4+INT24,2,0.0,False,0
resnet50,23_merged,K10,INT5,0,0.0,False,0
resnet50,23_merged,K10,INT5,1,0.0,False,0
resnet50,23_merged,K10,INT5,2,0.0,False,0
resnet50,23_merged,K10,INT6,0,0.0,False,0
resnet50,23_merged,K10,INT6,1,0.0,False,0
resnet50,23_merged,K10,INT6,2,0.0,False,0
resnet50,23_merged,K10,INT7,0,0.0,False,0
resnet50,23_merged,K10,INT7,1,0.0,False,0
resnet50,23_merged,K10,INT7,2,0.0,False,0
resnet50,23_merged,K10,INT8,0,0.0,False,0
resnet50,23_merged,K10,INT8,1,0.0,False,0
resnet50,23_merged,K10,INT8,2,0.0,False,0
resnet50,23_merged,K10,INT9,0,0.0,False,0
resnet50,23_merged,K10,INT9,1,0.0,False,0
resnet50,23_merged,K10,INT9,2,0.0,False,0
