metric,scope,value,n,note
n_T_spots_natural_median,donor_set=23_merged arm=K10 method=hcp,38439.0,207,
n_C_median,donor_set=23_merged arm=K10 method=hcp,33144.0,207,
K_median,donor_set=23_merged arm=K10 method=hcp,10.0,207,
coverage_mean_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=hoptimus0,0.9659000523356804,69,
width_mean_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=hoptimus0,4.040141895452888,69,
coverage_mean_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=resnet50,0.9665452430631922,69,
width_mean_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=resnet50,4.23781083536796,69,
coverage_mean_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=uni_v2,0.96619512306941,69,
width_mean_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=uni_v2,4.027401969899456,69,
coverage_mean,donor_set=23_merged arm=K10 method=pooled,0.8603508744907581,207,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=23_merged arm=K10 method=pooled,0.14833918701191973,207,
width_mean,donor_set=23_merged arm=K10 method=pooled,2.121458617135155,207,
width_median,donor_set=23_merged arm=K10 method=pooled,2.0324280775444983,207,
frac_cells_at_or_above_nominal,donor_set=23_merged arm=K10 method=pooled,0.5169082125603864,207,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=23_merged arm=K10 method=pooled,1.0,207,
n_T_donors_median,donor_set=23_merged arm=K10 method=pooled,12.0,207,
n_T_spots_matched_median,donor_set=23_merged arm=K10 method=pooled,35996.0,207,
n_T_spots_natural_median,donor_set=23_merged arm=K10 method=pooled,38439.0,207,
n_C_median,donor_set=23_merged arm=K10 method=pooled,33144.0,207,
K_median,donor_set=23_merged arm=K10 method=pooled,33144.0,207,
coverage_mean_by_encoder,donor_set=23_merged arm=K10 method=pooled encoder=hoptimus0,0.8621823804821143,69,
width_mean_by_encoder,donor_set=23_merged arm=K10 method=pooled encoder=hoptimus0,2.101237276644981,69,
coverage_mean_by_encoder,donor_set=23_merged arm=K10 method=pooled encoder=resnet50,0.8568925207164444,69,
width_mean_by_encoder,donor_set=23_merged arm=K10 method=pooled encoder=resnet50,2.1719484569062657,69,
coverage_mean_by_encoder,donor_set=23_merged arm=K10 method=pooled encoder=uni_v2,0.8619777222737152,69,
width_mean_by_encoder,donor_set=23_merged arm=K10 method=pooled encoder=uni_v2,2.0911901178542194,69,
coverage_mean,donor_set=24 arm=K10 method=dwr,0.9108769873934456,216,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=K10 method=dwr,0.12720687524032134,216,
width_mean,donor_set=24 arm=K10 method=dwr,3.018238513021072,216,
width_median,donor_set=24 arm=K10 method=dwr,2.9411873626401137,216,
frac_cells_at_or_above_nominal,donor_set=24 arm=K10 method=dwr,0.7638888888888888,216,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=K10 method=dwr,1.0,216,
n_T_donors_median,donor_set=24 arm=K10 method=dwr,13.0,216,
n_T_spots_matched_median,donor_set=24 arm=K10 method=dwr,35996.0,216,
n_T_spots_natural_median,donor_set=24 arm=K10 method=dwr,39171.0,216,
n_C_median,donor_set=24 arm=K10 method=dwr,31937.5,216,
K_median,donor_set=24 arm=K10 method=dwr,10.0,216,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=dwr encoder=hoptimus0,0.9092419202111083,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=dwr encoder=hoptimus0,2.9914988840496437,72,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=dwr encoder=resnet50,0.911440771400688,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=dwr encoder=resnet50,3.096807483388528,72,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=dwr encoder=uni_v2,0.9119482705685409,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=dwr encoder=uni_v2,2.9664091716250445,72,
coverage_mean,donor_set=24 arm=K10 method=hcp,0.9692115333343451,216,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=K10 method=hcp,0.09713954440542423,216,
width_mean,donor_set=24 arm=K10 method=hcp,4.109367407809322,216,
width_median,donor_set=24 arm=K10 method=hcp,4.021387478891815,216,
frac_cells_at_or_above_nominal,donor_set=24 arm=K10 method=hcp,0.9583333333333334,216,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=K10 method=hcp,1.0,216,
n_T_donors_median,donor_set=24 arm=K10 method=hcp,13.0,216,
n_T_spots_matched_median,donor_set=24 arm=K10 method=hcp,35996.0,216,
n_T_spots_natural_median,donor_set=24 arm=K10 method=hcp,39171.0,216,
n_C_median,donor_set=24 arm=K10 method=hcp,31937.5,216,
K_median,donor_set=24 arm=K10 method=hcp,10.0,216,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=hcp encoder=hoptimus0,0.9688216578592114,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=hcp encoder=hoptimus0,4.0592634854786915,72,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=hcp encoder=resnet50,0.9693837304722703,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=hcp encoder=resnet50,4.231037373911458,72,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=hcp encoder=uni_v2,0.9694292116715538,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=hcp encoder=uni_v2,4.037801364037815,72,
coverage_mean,donor_set=24 arm=K10 method=pooled,0.864426272376767,216,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=K10 method=pooled,0.14398504987937455,216,
width_mean,donor_set=24 arm=K10 method=pooled,2.1110351028426524,216,
width_median,donor_set=24 arm=K10 method=pooled,2.019296055071386,216,
frac_cells_at_or_above_nominal,donor_set=24 arm=K10 method=pooled,0.5092592592592593,216,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=K10 method=pooled,1.0,216,
n_T_donors_median,donor_set=24 arm=K10 method=pooled,13.0,216,
n_T_spots_matched_median,donor_set=24 arm=K10 method=pooled,35996.0,216,
n_T_spots_natural_median,donor_set=24 arm=K10 method=pooled,39171.0,216,
n_C_median,donor_set=24 arm=K10 method=pooled,31937.5,216,
K_median,donor_set=24 arm=K10 method=pooled,31937.5,216,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=pooled encoder=hoptimus0,0.8614926622078853,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=pooled encoder=hoptimus0,2.090351799077619,72,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=pooled encoder=resnet50,0.8646876683459978,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=pooled encoder=resnet50,2.163301356516325,72,
coverage_mean_by_encoder,donor_set=24 arm=K10 method=pooled encoder=uni_v2,0.8670984865764181,72,
width_mean_by_encoder,donor_set=24 arm=K10 method=pooled encoder=uni_v2,2.079452152934013,72,
coverage_mean,donor_set=24 arm=a1_rule_K6 method=dwr,1.0,216,"mean over folds, draws and encoders of the per-fold coverage"
coverage_sd_across_cells,donor_set=24 arm=a1_rule_K6 method=dwr,0.0,216,
width_mean,donor_set=24 arm=a1_rule_K6 method=dwr,,216,
width_median,donor_set=24 arm=a1_rule_K6 method=dwr,,216,
frac_cells_at_or_above_nominal,donor_set=24 arm=a1_rule_K6 method=dwr,1.0,216,fraction of cells with coverage >= 0.90
frac_cells_finite,donor_set=24 arm=a1_rule_K6 method=dwr,0.0,216,
n_T_donors_median,donor_set=24 arm=a1_rule_K6 method=dwr,17.0,216,
n_T_spots_matched_median,donor_set=24 arm=a1_rule_K6 method=dwr,35996.0,216,
n_T_spots_natural_median,donor_set=24 arm=a1_rule_K6 method=dwr,52671.5,216,
n_C_median,donor_set=24 arm=a1_rule_K6 method=dwr,18812.0,216,
K_median,donor_set=24 arm=a1_rule_K6 method=dwr,6.0,216,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=dwr encoder=hoptimus0,1.0,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=dwr encoder=hoptimus0,,72,
coverage_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=dwr encoder=resnet50,1.0,72,
width_mean_by_encoder,donor_set=24 arm=a1_rule_K6 method=dwr encoder=resnet50,,72,
