encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_C,n_E,sigma_floor,sigma_clip_lo_pct,sigma_clip_hi_pct,sigma_clip_lo,sigma_clip_hi,sigma_p1_raw_cal,sigma_p99_raw_cal,sigma_min_raw_cal,sigma_min_raw_test,sigma_median_raw_cal,frac_cal_raw_below_floor,frac_test_raw_below_floor,p1_below_floor,frac_test_clipped_low,frac_test_clipped_high,frac_cal_clipped_low,frac_cal_clipped_high,lower_clip_binds,upper_clip_binds,_source
hoptimus0,HCC,shipped,patient,1,-1,0,block,471,1941,0.001,1.0,99.0,0.001,0.7231915633748672,-0.0370213373678474,0.7231915633748672,-0.5058005116855536,-1.0741347256064382,0.3318889493928413,0.0195753715498938,0.1107161257083977,True,0.1107161257083977,0.0664399793920659,0.0195753715498938,0.0100212314225053,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,patient,1,-1,1,block,497,1941,0.001,1.0,99.0,0.001,0.7547981053329486,-0.0562703205797833,0.7547981053329486,-0.3694633234574315,-1.128855699318402,0.3299283819027049,0.0240643863179074,0.1355795981452859,True,0.1355795981452859,0.0266769706336939,0.0240643863179074,0.010020120724346,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,patient,1,-1,2,block,457,1941,0.001,1.0,99.0,0.001,0.7601601091793158,-0.0192790974830929,0.7601601091793158,-0.453653757413154,-1.1351593646610667,0.3478336638461686,0.0152297592997811,0.120710973724884,True,0.120710973724884,0.0415662029881504,0.0152297592997811,0.0100218818380743,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,donor,CHC20,-1,0,block,513,1941,0.001,1.0,99.0,0.001,0.7800665824243667,-0.1043501139785289,0.7800665824243667,-0.6478895743696771,-1.1159743983893744,0.3136682093753932,0.0377387914230019,0.1784647089129314,True,0.1784647089129314,0.0244616177228232,0.0377387914230019,0.0100194931773879,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,donor,CHC20,-1,1,block,452,1941,0.001,1.0,99.0,0.001,0.7418238957205362,-0.0531289223221721,0.7418238957205362,-0.3884397922353081,-1.4354450420272384,0.3149143586589477,0.0235398230088495,0.1225965996908809,True,0.1225965996908809,0.034672849046883,0.0235398230088495,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,donor,CHC20,-1,2,block,483,1941,0.001,1.0,99.0,0.001,0.7598622494531218,-0.0453446858870311,0.7598622494531218,-0.6153171336444507,-1.316957299308965,0.3455640074954338,0.0188819875776397,0.1267490984028851,True,0.1267490984028851,0.0260072127769191,0.0188819875776397,0.0100207039337474,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,donor,CHC23,-1,0,block,401,2255,0.001,1.0,99.0,0.001,0.6435102673753338,-0.0987952509908901,0.6435102673753338,-0.4477687386552204,-0.7619940867800385,0.2411798616512414,0.0521197007481296,0.070430155210643,True,0.070430155210643,0.0200443458980044,0.0521197007481296,0.0100249376558603,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,donor,CHC23,-1,1,block,430,2255,0.001,1.0,99.0,0.001,0.6538220431901807,-0.0745867807587298,0.6538220431901807,-0.4595678946257331,-0.8585535147511312,0.2748979108190054,0.0328372093023255,0.0433259423503325,True,0.0433259423503325,0.027210643015521,0.0328372093023255,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,HCC,shipped,donor,CHC23,-1,2,block,408,2255,0.001,1.0,99.0,0.001,0.6739729775524305,-0.065165941769178,0.6739729775524305,-0.3701722549279767,-0.806778873535202,0.2598086506313329,0.0312745098039215,0.0367893569844789,True,0.0367893569844789,0.0249667405764966,0.0312745098039215,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,0,0,0,spot,2955,20761,0.001,1.0,99.0,0.0976373435321421,0.9937290178167184,0.0976373435321421,0.9937290178167184,-0.195843422243407,-0.2084272395196172,0.4724607530694602,0.0009746192893401,0.0008737536727517,False,0.0108000578006839,0.0098049226915851,0.0100033840947546,0.0100033840947546,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,0,1,0,spot,2955,20761,0.001,1.0,99.0,0.0965406226045998,0.9996927192842064,0.0965406226045998,0.9996927192842064,-0.1340255308401267,-0.1764950413786545,0.4718628825075988,0.0008798646362098,0.00089302056741,False,0.0108944655845094,0.0104445835942391,0.0100033840947546,0.0100033840947546,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,0,2,0,spot,2955,20761,0.001,1.0,99.0,0.0924755375757212,0.9953070602991329,0.0924755375757212,0.9953070602991329,-0.1779345238895317,-0.1579294460245199,0.4712558222841312,0.0008663282571912,0.0009556379750493,False,0.0097249650787534,0.0102634747844516,0.0100033840947546,0.0100033840947546,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,0,3,0,spot,2955,20761,0.001,1.0,99.0,0.0918984448762973,0.9914160466716704,0.0918984448762973,0.9914160466716704,-0.1321286630206871,-0.2174616994945695,0.4698865647918753,0.0008392554991539,0.0008756803622176,False,0.0095717932662203,0.0101334232455084,0.0100033840947546,0.0100033840947546,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,0,4,0,spot,2955,20761,0.001,1.0,99.0,0.0955829661348443,0.9955004949138754,0.0955829661348443,0.9955004949138754,-0.1457972638034367,-0.2492710312018963,0.469221642850005,0.0007918781725888,0.0008246230913732,False,0.0099580945041182,0.0100669524589374,0.0100033840947546,0.0100033840947546,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,1,0,0,spot,5556,7760,0.001,1.0,99.0,0.0945141855371623,1.0039992105651243,0.0945141855371623,1.0039992105651243,-0.1754458516998011,-0.2033435825589928,0.472138775208015,0.0009971202303815,0.0009355670103092,False,0.0099871134020618,0.0099123711340206,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,1,1,0,spot,5556,7760,0.001,1.0,99.0,0.0921284576947254,1.0087072530075252,0.0921284576947254,1.0087072530075252,-0.1792386635804695,-0.1277497168628901,0.4696581472065897,0.0009323254139668,0.0008427835051546,False,0.0092190721649484,0.0101701030927835,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,1,2,0,spot,5556,7760,0.001,1.0,99.0,0.094291873956721,0.992400404635258,0.094291873956721,0.992400404635258,-0.1633717176413495,-0.2184884156834055,0.4697029015208224,0.0007811375089992,0.0008556701030927,False,0.0099742268041237,0.0103865979381443,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,1,3,0,spot,5556,7760,0.001,1.0,99.0,0.0957238775039778,0.9987638157071156,0.0957238775039778,0.9987638157071156,-0.2254165956526345,-0.2187891796502142,0.4704806999727095,0.0010259179265658,0.0010335051546391,False,0.0103891752577319,0.0098221649484536,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,1,4,0,spot,5556,7760,0.001,1.0,99.0,0.0922250739560775,1.005134278601595,0.0922250739560775,1.005134278601595,-0.2426173326968337,-0.2837992198236735,0.4705352179592956,0.0009719222462203,0.0010231958762886,False,0.0098144329896907,0.0095463917525773,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,2,0,0,spot,6306,4010,0.001,1.0,99.0,0.0989081958620331,0.9974427252428656,0.0989081958620331,0.9974427252428656,-0.1622431661698905,-0.1546061717243197,0.4706452448595919,0.0009578179511576,0.0009675810473815,False,0.0109975062344139,0.0101995012468827,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,2,1,0,spot,6306,4010,0.001,1.0,99.0,0.0964805282846832,0.9943614034230168,0.0964805282846832,0.9943614034230168,-0.1786984919497434,-0.0982350345617658,0.4674194243776622,0.0007643514113542,0.0007381546134663,False,0.0101745635910224,0.0102294264339152,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,2,2,0,spot,6306,4010,0.001,1.0,99.0,0.0958291562754956,0.9951229703891586,0.0958291562754956,0.9951229703891586,-0.2075387963907165,-0.1488173081395256,0.4711289006237539,0.0007802093244529,0.0008279301745635,False,0.0100299251870324,0.0100947630922693,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,2,3,0,spot,6306,4010,0.001,1.0,99.0,0.093674116017593,1.0005224128239536,0.093674116017593,1.0005224128239536,-0.2379261139605997,-0.1671892389435637,0.4700441104014977,0.0010307643514113,0.0009027431421446,False,0.0098753117206982,0.0105685785536159,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,2,4,0,spot,6306,4010,0.001,1.0,99.0,0.0971518822906215,0.996353513427768,0.0971518822906215,0.996353513427768,-0.2006060000327753,-0.1794101044442216,0.4700840300025504,0.0008119251506501,0.0008129675810473,False,0.0109226932668329,0.0105087281795511,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,3,0,0,spot,6507,3005,0.001,1.0,99.0,0.0958823821947905,1.002762811160116,0.0958823821947905,1.002762811160116,-0.267528173223125,-0.1317900914270837,0.4697734299301496,0.0008974950053788,0.0008785357737104,False,0.0100698835274542,0.0105557404326123,0.010001536806516,0.010001536806516,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,IDC,shipped,random,3,1,0,spot,6507,3005,0.001,1.0,99.0,0.0955968409369478,1.009036324188001,0.0955968409369478,1.009036324188001,-0.2128215771150322,-0.1640847779533137,0.4711307396109347,0.0008698324880897,0.00091846921797,False,0.0102163061564059,0.0096239600665557,0.010001536806516,0.010001536806516,True,True,a4_sigma_clip__hoptimus0__main9.csv
