encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,slide,n_test,n_genes,slide_ge_min_spots,K,calibration_unit_class,alpha,w_hat_abs_mean,w_star_recentred_mean,ratio_sum,ratio_n,ratio_mean,ratio_median,coverage_abs,coverage_recentred,b_s_mean,b_s_abs_mean,s_y_mean,b_s_over_sy_mean,_source
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT1,276,50,True,11170,spot,0.1,0.8035474448123887,0.7773797418765613,48.30509438516824,50,0.9661018877033648,0.9086574776523656,0.8972463768115942,0.9004347826086956,-0.10527978379683,0.1160856825925068,0.4293854440637654,0.3219868012069382,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT10,470,50,True,11170,spot,0.1,0.8035474448123887,0.9369457024480224,58.36217355192793,50,1.1672434710385586,1.1895973772806316,0.8317021276595744,0.8986808510638298,0.0768816393647326,0.0888819872899449,0.7506605299721673,0.1108920177366319,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT11,352,50,True,11170,spot,0.1,0.8035474448123887,0.9710119497629036,60.33356541965624,50,1.2066713083931249,1.1669318240544144,0.8067045454545452,0.8991477272727272,-0.0070818392928021,0.0839868081389077,0.5784193533017845,0.1446148957378049,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT12,341,50,True,11170,spot,0.1,0.8035474448123887,0.8590373904431253,53.39448771798533,50,1.0678897543597066,1.0632127429253648,0.865806451612903,0.8990029325513197,-0.0550386469420513,0.0600415647944417,0.5314553385014638,0.1216887797792674,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT13,1104,50,True,11170,spot,0.1,0.8035474448123887,0.7837040581403066,48.6969252644433,50,0.973938505288866,0.979578557579575,0.8990760869565217,0.9,0.003973830117643,0.0225040995431797,0.5354133789965594,0.0413891580528903,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT14,1118,50,True,11170,spot,0.1,0.8035474448123887,0.687148138653497,42.59934054580518,50,0.8519868109161035,0.8226149453667886,0.9369409660107336,0.9002862254025044,-0.0094382666613363,0.018263002126083,0.4476963892837768,0.0407572111284232,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT15,1243,50,True,11170,spot,0.1,0.8035474448123887,0.7284541813303386,45.38856458264701,50,0.90777129165294,0.8783572551189556,0.9219951729686242,0.8998712791633146,0.0130763061755015,0.022314561866312,0.4773096493317287,0.0436424299439745,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT16,785,50,True,11170,spot,0.1,0.8035474448123887,0.7148197088274425,44.36698247661906,50,0.8873396495323811,0.8798530688186139,0.9285095541401271,0.8999745222929937,-0.0016043522381479,0.0218848734893774,0.4685001656456112,0.0441500815583386,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT17,875,50,True,11170,spot,0.1,0.8035474448123887,0.6358752391262376,39.60374680451812,50,0.7920749360903624,0.7727669980234779,0.9499657142857144,0.9000685714285714,-0.0014283045974089,0.0222075029649306,0.387528533615413,0.0565911704098392,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT18,1229,50,True,11170,spot,0.1,0.8035474448123887,0.8236331798279967,51.15449614979581,50,1.0230899229959165,1.003612731109894,0.8875020341741255,0.9002115541090316,0.0253634646502787,0.032845035592557,0.5763610863783374,0.0493944479055304,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT19,1192,50,True,11170,spot,0.1,0.8035474448123887,0.6328409644824314,39.2928891089341,50,0.785857782178682,0.7723580044479588,0.9572818791946308,0.8997315436241613,-0.0146833414227025,0.0194395503880823,0.3871513405397809,0.0502313386563278,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT2,675,50,True,11170,spot,0.1,0.8035474448123887,0.7984594451311807,49.52071080769969,50,0.9904142161539938,1.013182815712335,0.8895703703703702,0.9001481481481483,-0.0133084386320271,0.0571699303561806,0.4952960005220476,0.1186217142315628,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT20,1194,50,True,11170,spot,0.1,0.8035474448123887,0.6393530926003114,39.73021611827225,50,0.7946043223654451,0.7855600386481474,0.9496147403685092,0.8999664991624792,-0.0078594797589469,0.0207332804561988,0.3915178884000843,0.051630969423995,a4_oracle_recentred__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,INT21,1218,50,True,11170,spot,0.1,0.8035474448123887,0.7856605292179627,48.865780094423656,50,0.9773156018884732,0.9804611066732176,0.902840722495895,0.9002134646962233,-0.0048404195480629,0.0263674035055235,0.554938607626795,0.0469570566280646,a4_oracle_recentred__hoptimus0__cqrmain.csv
