encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene,gene_index,n_T,status,guard_pass,deviance,deviance_null,deviance_ratio,score_residual,score_tol,n_iter,max_iter,solver,tol,library_flag_trusted,alpha_g,mean_count_T,var_count_T,seconds,_source
hoptimus0,COAD,shipped,random,0,0,0,spot,AQP8,0,3389,ok,True,5088.7778357751695,20720.498757721864,0.2455914741858588,7.237029280527864e-12,0.001,7,300,newton-cholesky,1e-06,False,0.0861992260309399,1.9164945411625849,74.94078156881612,0.755,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CA4,4,3389,ok,True,8061.165925641211,154517.96838614612,0.0521697638781792,7.515898142513142e-14,0.001,9,300,newton-cholesky,1e-06,False,0.0267373162385208,8.312481557981705,1954.309941567325,1.012,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CEACAM6,9,3389,ok,True,95769.86665449144,1611462.7780765516,0.0594303932783372,1.182899346741712e-11,0.001,9,300,newton-cholesky,1e-06,False,0.0832388400592276,187.97049277072884,127014.45367452098,0.853,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CEACAM7,10,3389,ok,True,12490.89760370818,130507.07921765326,0.0957104984540837,8.119456528546252e-12,0.001,8,300,newton-cholesky,1e-06,False,0.0816194149580402,10.32871053408085,1442.5737356744494,0.806,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CHI3L2,13,3389,ok,True,7382.031885481824,24691.91777804702,0.2989655138105558,2.8755627244628234e-08,0.001,6,300,newton-cholesky,1e-06,False,0.28601141445194,3.153732664502803,95.03922824137962,0.625,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CXCL10,18,3389,ok,True,82400.23671464084,208829.89134675087,0.3945806617205946,1.1934043156617783e-10,0.001,7,300,newton-cholesky,1e-06,False,1.0050474652815724,21.226320448509885,4186.659802897282,0.728,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,DMBT1,20,3389,ok,True,120096.5182028854,897933.9100030342,0.1337476142341919,6.354476476361118e-10,0.001,9,300,newton-cholesky,1e-06,False,0.1399244355615364,70.05311301268812,51375.921027053635,0.863,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,FCRL1,22,3389,ok,True,6117.170540310419,27367.431648407568,0.2235200810546779,1.2822346218499007e-10,0.001,7,300,newton-cholesky,1e-06,False,0.0676876475878134,2.6326349955739157,97.06600666159667,0.72,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,HEPACAM2,27,3389,ok,True,8664.626028391129,97284.9610433564,0.0890643932573465,4.573504260781191e-14,0.001,8,300,newton-cholesky,1e-06,False,0.0759043220662383,8.14458542342874,573.6980971495041,0.793,a4_nb_guard__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,INSL5,29,3389,ok,True,7916.666612074796,22000.358215913788,0.3598426232145773,1.2943222943918106e-12,0.001,7,300,newton-cholesky,1e-06,False,0.69241841716563,1.995868987902036,70.74260394505036,0.689,a4_nb_guard__hoptimus0__main9.csv
