check,score,n_cells,statistic,value,tol,passed,note,_source,encoder,a1_tag,scope
ANCHOR_abs_reproduces_A1_by_fold,abs,107,max |dcoverage| against a1_by_fold,0.147380073800738,1e-12,False,max |dwidth| 6.821e-01; source results/round3/A1_coverage/a1_by_fold__hoptimus0__main.csv,a4_acceptance__hoptimus0__cqrmain.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,0,no overlapping folds,,1e-12,,source results/round3/A1_coverage/a1_by_fold__hoptimus0__main.csv,a4_acceptance__hoptimus0__cqrmain.csv,,,
A4_cqr_coverage_at_nominal_on_random,cqr,10,max |coverage - nominal| over tasks,0.010269599284975,0.02,True,nominal 0.90; mean over folds per task,a4_acceptance__hoptimus0__cqrmain.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,71,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 1.469e-10; source results/round3/A1_coverage/a1_by_fold__hoptimus0__main.csv,a4_acceptance__hoptimus0__main9.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,71,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 1.191e-09; source results/round3/A1_coverage/a1_by_fold__hoptimus0__main.csv,a4_acceptance__hoptimus0__main9.csv,,,
A4_nb_pit_uniform_on_random,nb,1840,"median exact KS over (fold, gene)",0.0674404467570273,0.05,False,"max KS 0.3206; the 0.05 threshold is this stage's own, section 4.6 asks for the statistic to be reported, not for a level",a4_acceptance__hoptimus0__main9.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,36,max |dcoverage| against a1_by_fold,3.3306690738754696e-16,1e-12,True,max |dwidth| 8.438e-15; source results/round3/A1_coverage/a1_by_fold__hoptimus0__main.csv,a4_acceptance__hoptimus0__mainCCRCC.csv,,,
ANCHOR_scaled_reproduces_A1_by_fold,scaled,36,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 5.995e-15; source results/round3/A1_coverage/a1_by_fold__hoptimus0__main.csv,a4_acceptance__hoptimus0__mainCCRCC.csv,,,
A4_nb_pit_uniform_on_random,nb,480,"median exact KS over (fold, gene)",0.0228174801943521,0.05,True,"max KS 0.0584; the 0.05 threshold is this stage's own, section 4.6 asks for the statistic to be reported, not for a level",a4_acceptance__hoptimus0__mainCCRCC.csv,,,
ANCHOR_abs_reproduces_A1_by_fold,abs,27,max |dcoverage| against a1_by_fold,2.220446049250313e-16,1e-12,True,max |dwidth| 6.378e-09; source results/round3/A1_coverage/a1_by_fold__hoptimus0__slideout.csv,a4_acceptance__hoptimus0__slideout.csv,,,
