name,scope,value,n,source,note
anchor_cell_max_abs_dcoverage,"all encoders, all cells",4.440892098500626e-16,2640,a4_acceptance.csv,"max over encoders and A1 tags of max |dcoverage| per (fold, repeat, draw) against a1_by_slide"
anchor_byfold_max_abs_dcoverage,invocations scoring every cell,3.3306690738754696e-16,804,a4_acceptance.csv,"max |dcoverage| against a1_by_fold, abs and scaled"
width_mean_abs,"subset cqr_matched, alpha 0.1, all cells",2.451372909788533,402,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_abs,"subset cqr_matched, alpha 0.1, all cells",2.245982954166817,402,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_abs,"subset cqr_matched, alpha 0.1, all cells",0.8524820588591784,402,a4_by_fold.csv,
width_mean_scaled,"subset cqr_matched, alpha 0.1, all cells",3.5669107647445077,402,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_scaled,"subset cqr_matched, alpha 0.1, all cells",2.598164621459169,402,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_scaled,"subset cqr_matched, alpha 0.1, all cells",0.85534819709031,402,a4_by_fold.csv,
width_mean_scaled_clip,"subset cqr_matched, alpha 0.1, all cells",3.543330236557404,402,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_scaled_clip,"subset cqr_matched, alpha 0.1, all cells",2.591525419740787,402,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_scaled_clip,"subset cqr_matched, alpha 0.1, all cells",0.8542377572935799,402,a4_by_fold.csv,
width_ratio_scaled_clip_over_scaled,"subset cqr_matched, alpha 0.1",0.9929729178882941,402,a4_by_fold.csv,mean over cells of the per-cell width ratio
frac_cells_scaled_clip_narrows_scaled_by_half,"subset cqr_matched, alpha 0.1",0.0,402,a4_by_fold.csv,memo prediction 1 asks for a narrowing of more than half
width_ratio_scaled_over_abs,"subset cqr_matched, alpha 0.1",1.490281558907189,402,a4_by_fold.csv,
width_mean_abs,"subset full, alpha 0.1, all cells",2.2117404428791683,1320,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_abs,"subset full, alpha 0.1, all cells",2.0807125913276363,1320,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_abs,"subset full, alpha 0.1, all cells",0.8562142941481029,1320,a4_by_fold.csv,
width_mean_scaled,"subset full, alpha 0.1, all cells",3.941586546295217,1320,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_scaled,"subset full, alpha 0.1, all cells",2.241893176029693,1320,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_scaled,"subset full, alpha 0.1, all cells",0.8630347479049005,1320,a4_by_fold.csv,
width_mean_scaled_clip,"subset full, alpha 0.1, all cells",3.888148576354024,1320,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_scaled_clip,"subset full, alpha 0.1, all cells",2.2322064174568097,1320,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_scaled_clip,"subset full, alpha 0.1, all cells",0.8628477878402868,1320,a4_by_fold.csv,
width_ratio_scaled_clip_over_scaled,"subset full, alpha 0.1",0.9886969903377301,1320,a4_by_fold.csv,mean over cells of the per-cell width ratio
frac_cells_scaled_clip_narrows_scaled_by_half,"subset full, alpha 0.1",0.0007575757575757576,1320,a4_by_fold.csv,memo prediction 1 asks for a narrowing of more than half
width_ratio_scaled_over_abs,"subset full, alpha 0.1",1.4994804577486183,1320,a4_by_fold.csv,
width_mean_abs,"subset nb_matched, alpha 0.1, all cells",2.2812620534023464,1320,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_abs,"subset nb_matched, alpha 0.1, all cells",2.1068877964573596,1320,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_abs,"subset nb_matched, alpha 0.1, all cells",0.8535983188106194,1320,a4_by_fold.csv,
width_mean_scaled,"subset nb_matched, alpha 0.1, all cells",4.406529778775201,1320,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_scaled,"subset nb_matched, alpha 0.1, all cells",2.289878692576503,1320,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_scaled,"subset nb_matched, alpha 0.1, all cells",0.8612947802430692,1320,a4_by_fold.csv,
width_mean_scaled_clip,"subset nb_matched, alpha 0.1, all cells",4.352755505457743,1320,a4_by_fold.csv,"unweighted mean over (task, design, encoder, fold, repeat, draw) cells"
width_median_scaled_clip,"subset nb_matched, alpha 0.1, all cells",2.2819665717708064,1320,a4_by_fold.csv,mean over cells of the within-cell median spot-gene width
coverage_scaled_clip,"subset nb_matched, alpha 0.1, all cells",0.861003304554745,1320,a4_by_fold.csv,
width_ratio_scaled_clip_over_scaled,"subset nb_matched, alpha 0.1",0.9897971016184367,1320,a4_by_fold.csv,mean over cells of the per-cell width ratio
