encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene,gene_index,n,ks_exact,pit_mean,pit_var,log_score_mean,alpha_g,_source
hoptimus0,COAD,shipped,random,0,0,0,spot,AQP8,0,10572,0.0352660919160114,0.4966296820028354,0.0957709890899494,1.586546392017713,0.0861992260309399,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CA4,4,10572,0.0844760532997012,0.5007290529594411,0.1125289832428187,2.246200476858248,0.0267373162385208,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CEACAM6,9,10572,0.2085423972776921,0.4188365612051751,0.1315137511123307,5.076812000076748,0.0832388400592276,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CEACAM7,10,10572,0.0859363994892098,0.486339467306165,0.1142426492301111,2.604602377899275,0.0816194149580402,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CHI3L2,13,10572,0.0344955520493254,0.5039517765633599,0.0933304265140417,2.043879339911349,0.28601141445194,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,CXCL10,18,10572,0.0598325786364382,0.5048244067387453,0.0927710636687077,3.766514757778735,1.0050474652815724,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,DMBT1,20,10572,0.2474772442073983,0.4299886601795019,0.1541963297442964,5.640907687239372,0.1399244355615364,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,FCRL1,22,10572,0.0691694305218461,0.4804975266855057,0.1028617569467493,2.1184363496246688,0.0676876475878134,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,HEPACAM2,27,10572,0.0738341466403066,0.4827535482399045,0.1062150952197469,2.3000194816801045,0.0759043220662383,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,INSL5,29,10572,0.0554792132025016,0.5299694004385623,0.0929690959904778,1.7530345441906097,0.69241841716563,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,LCN2,31,10572,0.1419753541938747,0.4678579790141414,0.1301456375655028,4.176579535727501,0.150185278457943,a4_pit_by_cell__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,0,0,spot,NXPE4,36,10572,0.10697598343775,0.4676923362636202,0.1149563399158678,3.3692865080454277,0.1227073852735983,a4_pit_by_cell__hoptimus0__main9.csv
